country,c1,c2,u1,u2
Finland,54.92824,42.537926,1.2820917,9.692536
Cyprus,81.487045,7.507049,0.5469194,9.969767
Romania,-94.01022,-84.29585,-0.70050263,11.437154
Hungary,-24.143951,-101.85028,-0.26085183,12.302189
Croatia,32.824562,19.627253,1.5057333,10.264477
Ireland,55.682175,75.596664,1.8751774,9.623908
Belgium,-29.37452,16.543503,1.9575129,11.79564
Lithuania,-35.506237,-37.302166,0.30676383,11.447051
Denmark,11.81945,76.57465,2.689976,10.375262
Spain,13.847012,-67.81689,1.5146638,12.568704
Slovakia,-59.476868,-85.72349,-0.70861185,11.927086
Greece,-16.999514,-13.045556,0.9662692,11.999259
Malta,22.52995,49.577457,2.3059812,10.125481
Austria,-0.47309148,19.598198,1.7493317,11.170421
Luxembourg,7.726674,-13.302202,0.99912167,11.349818
France,39.401543,-39.826782,1.9633166,12.191976
Estonia,-69.982185,-29.332218,0.33931246,10.494662
Italy,-61.52555,41.88292,2.4289482,11.528131
Sweden,-9.308334,49.325348,2.1685832,10.803486
Slovenia,-31.40203,-75.72495,-0.24767889,11.885658
