country,Billion Euro Recovery,Reform Investment:,Euro Reform Investment.,Climate Action Investment,EU Investment Reform.
Finland,0.20919999480247498,0.1777999997138977,0.20819999277591705,0.1923999935388565,0.21230000257492065
Cyprus,0.18700000643730164,0.1867000013589859,0.20630000531673431,0.18880000710487366,0.23119999468326569
Romania,0.04270000010728836,0.821399986743927,0.04450000077486038,0.04619999974966049,0.04520000144839287
Hungary,0.19979999959468842,0.19089999794960022,0.2167000025510788,0.20469999313354492,0.18799999356269836
Croatia,0.20649999380111694,0.1695999950170517,0.20440000295639038,0.20090000331401825,0.21870000660419464
Ireland,0.2134000062942505,0.17579999566078186,0.22010000050067902,0.18520000576972961,0.20550000667572021
Belgium,0.21410000324249268,0.16899999976158142,0.2012999951839447,0.21209999918937683,0.20350000262260437
Lithuania,0.21240000426769257,0.1873999983072281,0.19580000638961792,0.20399999618530273,0.20029999315738678
Denmark,0.21850000321865082,0.16349999606609344,0.20970000326633453,0.19689999520778656,0.21130000054836273
Spain,0.2142000049352646,0.17599999904632568,0.2046000063419342,0.22310000658035278,0.18209999799728394
Slovakia,0.1996999979019165,0.20919999480247498,0.19979999959468842,0.20350000262260437,0.18780000507831573
Greece,0.20509999990463257,0.17820000648498535,0.20340000092983246,0.2076999992132187,0.20559999346733093
Malta,0.20980000495910645,0.16279999911785126,0.21130000054836273,0.1987999975681305,0.21719999611377716
Austria,0.21469999849796295,0.17069999873638153,0.20229999721050262,0.20389999449253082,0.20839999616146088
Luxembourg,0.2045000046491623,0.17739999294281006,0.20350000262260437,0.2084999978542328,0.2062000036239624
France,0.21199999749660492,0.15839999914169312,0.21240000426769257,0.22020000219345093,0.19689999520778656
Estonia,0.20579999685287476,0.19589999318122864,0.19679999351501465,0.18880000710487366,0.2126999944448471
Italy,0.23639999330043793,0.16949999332427979,0.18870000541210175,0.20569999516010284,0.1996999979019165
Sweden,0.20810000598430634,0.16369999945163727,0.21119999885559082,0.2071000039577484,0.20990000665187836
Slovenia,0.20250000059604645,0.19539999961853027,0.20430000126361847,0.2094999998807907,0.1881999969482422
