country,c1,c2,u1,u2
Finland,-13.190156,12.441012,-3.9149618,12.525354
Cyprus,-14.045122,21.564878,-3.0987368,13.970291
Hungary,-3.0210621,24.459948,-7.7643976,13.2521305
Croatia,-21.069267,23.729649,-2.1443503,14.013132
Ireland,-16.77675,12.686381,-3.4638162,12.460485
Belgium,-11.425217,1.7749907,-4.1914744,10.253652
Lithuania,-10.765663,15.614745,-4.631057,13.471512
Denmark,-14.378606,15.69857,-4.293865,13.165505
Spain,-5.8424816,25.430262,-7.2341213,13.3287115
Slovakia,-5.1838613,22.51481,-7.60165,13.592095
Greece,-17.464954,21.511194,-2.5993373,13.763693
Malta,-18.783728,27.028708,-2.521647,14.248385
Germany,-14.522088,8.6924515,-4.169212,11.911486
Austria,-9.728065,4.8044305,-4.270745,10.764337
Luxembourg,-13.957726,5.8098583,-4.004,11.48045
France,-19.83194,18.679834,-3.6946483,14.403206
Estonia,-8.211168,1.9991308,-3.8025641,10.557031
Italy,-18.119911,15.612882,-3.8256216,13.198504
Sweden,-12.229983,18.60512,-4.317761,13.860206
Slovenia,-15.965189,18.308779,-3.5081677,13.501735
