country,c1,c2,u1,u2
Austria,78.2154,-178.62192,-1.7839907,3.1171622
Belgium,74.787636,140.19577,-3.1789873,3.2573645
Bulgaria,-137.11894,-37.479053,-3.2128854,0.45223114
Croatia,-41.699623,-71.336784,-2.0085971,1.3709573
Cyprus,20.339369,-178.36136,-2.0076125,2.8048425
Denmark,110.76203,35.840797,-2.7227306,-0.07350252
Estonia,94.59923,-39.134537,-2.20531,-0.3228655
Finland,-105.0463,107.658585,-4.430046,1.6862801
France,-70.7515,140.17253,-4.2140384,1.8705848
Germany,-140.8202,12.599394,-3.6107767,0.5435454
Greece,-1.7340375,-4.8906827,-2.2238774,1.9505466
Hungary,15.251993,54.016014,-2.8424988,2.27636
Ireland,43.74733,188.04082,-3.5321865,2.9914267
Italy,68.27261,4.905504,-2.343246,0.29223678
Latvia,28.202473,-136.24002,-2.5067856,3.1092615
Lithuania,-9.673808,120.15341,-3.974077,2.4851377
Luxembourg,-1.7340375,-4.8906827,-2.7235484,1.6205047
Malta,139.1572,-63.96776,-2.062656,-0.9149557
Portugal,161.34624,-20.141556,-2.5767775,-0.77497625
Romania,-116.79268,-164.67604,-1.5556676,1.6354102
Slovakia,-95.915245,45.65343,-3.9001827,1.0856844
Slovenia,-110.265564,-119.937645,-1.5103202,1.4200741
Spain,-58.391422,-20.800798,-2.6727083,1.0696841
Sweden,-31.64759,76.00318,-3.5181582,2.3029397
Netherlands,159.48175,-131.27168,-1.6593018,-0.6629168
