country,Municipal Activation,Combat Poverty.,Combat Poverty: Job Activation.,Local Authority Activation.,Social Service Activation.
Austria,0.20350000262260437,0.19480000436306,0.1987999975681305,0.20180000364780426,0.20110000669956207
Belgium,0.19939999282360077,0.20250000059604645,0.1931000053882599,0.20090000331401825,0.20409999787807465
Bulgaria,0.20080000162124634,0.19840000569820404,0.20399999618530273,0.19900000095367432,0.19779999554157257
Croatia,0.20080000162124634,0.19979999959468842,0.2004999965429306,0.1973000019788742,0.20149999856948853
Cyprus,0.19949999451637268,0.19580000638961792,0.19910000264644623,0.20080000162124634,0.20479999482631683
Denmark,0.1973000019788742,0.20059999823570251,0.20399999618530273,0.1988999992609024,0.19920000433921814
Estonia,0.19830000400543213,0.1996999979019165,0.20149999856948853,0.20170000195503235,0.1987999975681305
Finland,0.20000000298023224,0.20389999449253082,0.19869999587535858,0.20069999992847443,0.19670000672340393
France,0.20059999823570251,0.20409999787807465,0.19869999587535858,0.1988999992609024,0.19769999384880066
Germany,0.2013999968767166,0.19990000128746033,0.20229999721050262,0.2003999948501587,0.19599999487400055
Greece,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
Hungary,0.20090000331401825,0.20020000636577606,0.19840000569820404,0.20149999856948853,0.19910000264644623
Ireland,0.19449999928474426,0.2021999955177307,0.19740000367164612,0.20229999721050262,0.2037000060081482
Italy,0.19789999723434448,0.19949999451637268,0.2020999938249588,0.19979999959468842,0.20069999992847443
Latvia,0.20029999315738678,0.19760000705718994,0.19619999825954437,0.2013999968767166,0.2045000046491623
Lithuania,0.20010000467300415,0.20250000059604645,0.19760000705718994,0.20000000298023224,0.19979999959468842
Luxembourg,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
Malta,0.1981000006198883,0.1987999975681305,0.20149999856948853,0.20350000262260437,0.1981000006198883
Portugal,0.1965000033378601,0.20000000298023224,0.20260000228881836,0.20329999923706055,0.19750000536441803
Romania,0.2029000073671341,0.19979999959468842,0.2003999948501587,0.1906999945640564,0.20600000023841858
Slovakia,0.2003999948501587,0.20200000703334808,0.20100000500679016,0.19939999282360077,0.1973000019788742
Slovenia,0.20350000262260437,0.19910000264644623,0.20409999787807465,0.1923000067472458,0.20100000500679016
Spain,0.2012999951839447,0.20029999315738678,0.2004999965429306,0.19840000569820404,0.1995999962091446
Sweden,0.19850000739097595,0.20200000703334808,0.19900000095367432,0.2012999951839447,0.19920000433921814
Netherlands,0.20250000059604645,0.19629999995231628,0.1996999979019165,0.2061000019311905,0.19550000131130219
