country,c1,c2,u1,u2
Austria,165.62503,-153.53534,5.1524367,19.10065
Belgium,-194.80716,-313.1382,4.0365705,20.180342
Bulgaria,-139.46124,403.07004,1.1206341,23.71521
Croatia,-92.924225,-128.84438,4.5872326,20.712004
Denmark,-328.04022,-311.05606,3.6352262,20.41881
Estonia,-231.84244,20.444704,4.3959885,21.556982
Finland,-104.23809,62.265636,4.9246078,21.25321
France,24.08692,-24.081844,5.153548,20.205708
Germany,431.747,-85.41851,5.046583,17.725927
Hungary,-262.07336,-137.23015,4.0490165,20.970375
Ireland,24.08692,-24.081844,5.356204,20.850859
Italy,533.975,6.1930346,4.8431683,17.453743
Latvia,24.08692,-24.081844,5.5615664,20.427498
Malta,-272.58966,354.15674,1.4257461,23.351221
Portugal,-242.68443,212.86461,0.84109825,23.433937
Slovenia,154.85338,114.47491,4.778686,19.428505
Spain,-105.01433,264.6127,1.0529755,23.009722
Sweden,419.90393,74.625,5.4601564,17.99286
Netherlands,282.21756,-6.076677,5.9642506,20.027437
