country,c1,c2,u1,u2
Austria,12.24685,25.253979,3.360429,5.843086
Belgium,13.187152,16.831812,3.469622,6.7892275
Bulgaria,5.449377,-2.3192797,1.7113305,8.071947
Croatia,-14.1772995,-11.620804,2.5695496,9.560494
Denmark,-15.164765,-19.908184,1.6598787,9.922948
Estonia,-10.979769,-29.63072,2.296205,10.578774
Finland,6.419595,19.941412,3.038513,6.3255053
France,-11.006236,-1.910714,1.6595817,8.830954
Germany,-7.111921,-8.873209,2.1390505,9.250468
Greece,-2.5953033,-1.4442245,2.1496623,8.489146
Hungary,5.0028267,9.968814,2.8926663,7.1530004
Ireland,11.952329,5.309705,2.159537,7.212937
Latvia,3.4433305,28.633959,2.5667765,6.047468
Malta,20.835285,30.0819,2.860027,5.630362
Portugal,0.07261447,-10.928838,2.7275364,8.908225
Slovakia,-7.402625,-17.43643,2.0164912,9.898875
Slovenia,-11.857251,15.120609,1.774485,7.430564
Spain,-0.9395209,7.19647,2.9485748,7.797226
Sweden,-3.7744598,-26.822083,2.463163,10.238506
Netherlands,7.9315734,34.39215,2.190502,6.310817
