,word,topic_id,importance,word_count
0,beneficiary,0,0.029599696,78
10,social assistance,1,0.023885101,66
20,beneficiary,2,0.020955972,78
1,programme,0,0.020736525,65
11,programme,1,0.020530125,65
12,beneficiary,1,0.018740838,78
2,person,0,0.018263036,58
13,people,1,0.01814139,55
14,person,1,0.018122818,58
3,social assistance,0,0.01807037,66
21,social assistance,2,0.016816843,66
4,people,0,0.016792273,55
22,programme,2,0.016627545,65
23,activation,2,0.015885469,47
24,person,2,0.015368275,58
25,people,2,0.014188913,55
15,activation,1,0.013603688,47
16,measure,1,0.012965897,42
26,integration,2,0.012759997,39
5,activation,0,0.012617754,47
6,measure,0,0.012424004,42
27,s,2,0.012415221,40
28,measure,2,0.012329794,42
7,integration,0,0.012192639,39
17,s,1,0.012103915,40
18,job,1,0.012025179,37
19,activity,1,0.011869232,38
29,activity,2,0.011817315,38
8,s,0,0.011446503,40
9,datum,0,0.010733709,35
