country,c1,c2,u1,u2
Austria,-19.371336,-11.178683,20.564062,-3.6467876
Belgium,23.826128,10.706117,17.906431,-1.5838234
Bulgaria,13.720866,32.94255,16.96196,-0.90360254
Croatia,-6.3554373,3.8586118,19.436075,-3.729007
Cyprus,19.71556,-27.358797,18.51622,-4.6640983
Denmark,-3.807385,-8.189048,19.877718,-4.1829133
Estonia,-13.584219,24.494635,18.421064,-2.9588845
Finland,-21.00215,3.4488773,20.10755,-3.4446707
France,12.082049,-6.111834,19.186396,-4.777448
Germany,0.46364582,34.563496,16.925234,-1.3695474
Hungary,41.24297,-6.509096,20.646488,-4.035739
Ireland,-23.06118,42.826385,19.951216,-2.6074235
Italy,40.08197,45.782703,17.472736,-0.35207236
Latvia,20.998032,43.04897,17.232613,-0.3537676
Lithuania,-39.162064,43.000076,20.377144,-2.6849349
Malta,3.8582394,-38.64234,18.156149,-4.2748785
Portugal,7.024234,46.754017,16.698496,-0.6307195
Slovakia,-25.684965,18.656815,19.259293,-2.8239365
Slovenia,34.91573,27.242899,17.696669,-0.76739925
Spain,8.758546,6.9222403,19.064663,-4.1834426
Sweden,-2.799345,18.274654,18.826519,-3.3933413
Netherlands,-6.5331964,-41.62298,18.390013,-3.8970199
