country,c1,c2,u1,u2
Austria,-1.2988771,11.45387,4.0404563,-4.0540485
Belgium,0.5152485,15.597036,3.38815,-5.972485
Croatia,-3.2540228,13.592912,2.588133,-3.8481426
Cyprus,-0.95970744,10.2120905,4.8165493,-3.4441032
Denmark,-5.927434,13.89435,1.1244532,-3.555858
Estonia,-3.3398037,13.920139,2.2627363,-4.306608
Finland,-0.22229351,13.357742,4.0151153,-5.2776036
France,0.06418389,9.763209,4.367002,-3.100417
Germany,-1.6719737,15.2497835,2.2457526,-5.1717734
Greece,-4.7150207,13.206486,1.7786838,-3.3694928
Hungary,-4.418887,15.547427,1.200808,-4.505433
Ireland,-1.533133,9.968568,4.4619427,-3.620093
Italy,-5.2757425,12.01438,2.2091057,-3.3334575
Latvia,-4.130615,14.041381,1.733468,-3.9514928
Lithuania,-1.5421078,14.215318,3.0112154,-5.3342957
Luxembourg,-3.9111917,16.117153,1.5048857,-4.9519205
Malta,-1.6375579,12.132554,4.5292954,-4.15049
Portugal,-1.1761757,12.425829,4.199975,-4.571457
Romania,-6.12458,15.221955,0.97056943,-4.060723
Slovakia,-1.2626461,13.775731,3.3781486,-4.9825335
Slovenia,-2.719574,11.01545,3.2471848,-3.5235288
Spain,-1.2714155,15.735104,2.413163,-5.4809284
Sweden,-2.7875175,13.362148,2.892228,-4.289989
Netherlands,0.5439768,14.212821,3.8327425,-5.7136254
