country,c1,c2,u1,u2
Austria,-1.2141389,-1.3286045,3.0961463,9.067255
Belgium,6.4040813,0.78834903,8.401822,7.9602923
Bulgaria,6.275934,4.9289904,8.811761,8.852886
Croatia,-0.32072142,-0.6547109,3.5028172,9.144836
Cyprus,-3.9803817,3.0485513,4.7813087,8.034583
Denmark,-0.48621556,2.8793266,5.9370346,8.515776
Estonia,-2.9755363,0.32315138,3.8289704,7.8723917
Finland,3.8100977,2.8977344,7.917218,8.944813
France,4.836624,0.6812938,7.906543,7.8367867
Germany,-3.0139039,1.3038694,4.4230995,7.5976486
Greece,-2.9620488,-0.6765329,3.6227899,8.296998
Hungary,1.4824836,2.078436,6.7894664,8.643743
Ireland,2.8783064,-2.5823207,3.5063303,10.583507
Italy,1.8503304,-0.882005,3.8567948,9.914084
Latvia,-4.2477083,1.2698445,4.369051,7.945839
Lithuania,0.15763922,-1.9588757,2.930139,9.642586
Luxembourg,1.2281061,-2.0751617,3.1804016,10.141271
Malta,6.069919,3.6689284,8.928158,8.416879
Portugal,6.188633,1.6701698,8.498406,8.394957
Romania,-0.061944485,3.6660876,6.323263,8.950049
Slovakia,2.3618338,2.3052306,7.2563,9.040416
Slovenia,4.3492556,1.77441,7.746899,8.318562
Spain,0.8406337,-0.6552916,3.4479814,9.621148
Sweden,3.9779658,-1.9380733,3.9548042,10.68647
Netherlands,1.578274,3.278308,6.9213696,9.084341
