country,c1,c2,u1,u2
austria,94.44715,68.24573,5.191239,-0.67187124
belgium,-121.62485,-5.646985,-7.3129745,5.5853505
bulgaria,10.436949,-0.30485648,-3.0112412,4.3866577
croatia,53.676037,82.57959,3.921186,-0.65553576
cyprus,91.10518,-109.33954,4.979561,-0.13985153
denmark,-117.577095,-79.174065,-6.852398,5.3693085
estonia,83.23648,13.418837,4.7298827,-0.5446453
finland,-24.006763,42.942665,-3.9957604,5.147117
france,133.09193,-27.535563,5.526477,-0.45996237
germany,-68.42199,-77.47541,-5.489796,5.413683
greece,36.44779,33.66113,2.9593472,-1.0290611
hungary,120.34822,18.27107,5.2122226,-0.23293409
ireland,-99.023476,-47.88646,-6.4289775,5.5069027
italy,51.54889,-12.970662,3.4835136,-0.9716936
latvia,6.648298,-90.06335,-3.1505938,4.751652
lithuania,56.779476,-113.217804,4.101789,-1.0786846
luxembourg,36.44779,33.66113,2.7790103,-0.5110374
malta,-185.99042,16.522518,-6.824514,6.2593007
portugal,42.001423,124.21274,3.16858,-0.57402205
romania,-37.051952,117.640335,-4.5089746,5.146521
slovakia,-142.15665,-38.07956,-7.0483017,5.846297
slovenia,-197.89798,-17.684437,-6.5788646,6.090911
spain,14.215871,66.56589,-2.7311187,4.2234025
sweden,-13.449464,-43.80502,-3.652137,4.851759
the_netherlands,-44.794117,12.622612,-4.7974157,5.352813
