country,c1,c2,u1,u2
austria,-41.13507,415.48914,9.74988,-0.38659614
belgium,390.593,186.45932,13.043417,-2.5793288
bulgaria,-174.29828,-90.1601,8.935124,0.9712352
croatia,266.94547,-120.728775,12.760179,-2.019465
denmark,-29.315172,-524.9794,10.115123,-0.6218412
estonia,121.57111,-278.45834,11.398212,-2.0298336
finland,-91.172806,-301.31094,9.6383,0.23877817
france,17.606855,-25.277287,10.50289,-1.6116241
germany,-294.28043,186.53177,7.9485016,1.9792854
hungary,-274.85794,-399.7141,8.785985,1.7130481
ireland,17.606855,-25.277287,11.018103,-0.983039
italy,-371.69922,392.8043,8.398975,2.0329921
latvia,17.606855,-25.277287,10.51686,-1.124408
malta,503.62732,-35.851444,12.7048025,-2.795645
portugal,68.96309,162.51285,11.040386,-1.5803303
slovenia,240.08365,38.896297,12.319168,-2.1821723
spain,256.76587,305.7704,12.272672,-2.617778
sweden,-121.977875,170.4833,9.076204,0.35277432
the_netherlands,-470.39066,9.615487,8.152261,1.5883327
