,word,topic_id,importance,word_count
150,household,5,0.020661445,83
180,gap identify strength challenge,6,0.01944565,90
181,exploratory study fill knowledge,6,0.017138597,96
30,level,1,0.017071554,92
90,study,3,0.017020335,84
151,effectiveness eu member states,5,0.016893895,84
0,exploratory study fill knowledge,0,0.016851893,96
120,household,4,0.016576773,83
121,exploratory study fill knowledge,4,0.016323952,96
1,gap identify strength challenge,0,0.015726492,90
91,people,3,0.015643736,81
2,level,0,0.015319045,92
3,study,0,0.015317458,84
182,system,6,0.015314546,58
122,level,4,0.01528141,92
123,gap identify strength challenge,4,0.01467388,90
31,study,1,0.014638224,84
152,exploratory study fill knowledge,5,0.014088634,96
4,recipient,0,0.014086271,67
5,household,0,0.01407121,83
92,support,3,0.014027385,71
93,gap identify strength challenge,3,0.013994797,90
183,minimum income scheme february,6,0.013879753,75
184,level,6,0.013876622,92
94,effectiveness eu member states,3,0.013773574,84
153,impact,5,0.0136739835,56
95,exploratory study fill knowledge,3,0.013637283,96
96,household,3,0.013425502,83
60,increase,2,0.013382267,63
32,exploratory study fill knowledge,1,0.013367869,96
61,work,2,0.013366432,68
62,gap identify strength challenge,2,0.01329628,90
6,people,0,0.013263438,81
63,minimum income scheme february,2,0.013247351,75
185,effect,6,0.013210427,51
33,low,1,0.013136892,68
64,level,2,0.013050183,92
65,effectiveness eu member states,2,0.013005594,84
34,support,1,0.012976978,71
7,support,0,0.012976853,71
97,increase,3,0.012955385,63
186,people,6,0.012671065,81
35,work,1,0.012582082,68
187,study,6,0.012581159,84
154,low,5,0.012539994,68
124,effectiveness eu member states,4,0.012508784,84
125,receive,4,0.012438449,57
155,level,5,0.012339786,92
98,service,3,0.012261767,60
36,people,1,0.012247095,81
66,measure,2,0.012241948,57
99,level,3,0.012200602,92
37,system,1,0.012153002,58
126,minimum income scheme february,4,0.012135073,75
67,exploratory study fill knowledge,2,0.01202857,96
38,minimum income scheme february,1,0.011989743,75
8,threshold,0,0.011980666,31
39,effectiveness,1,0.0118063735,53
9,effectiveness eu member states,0,0.011797477,84
188,effectiveness eu member states,6,0.011747978,84
156,impact mi scheme,5,0.01174645,39
127,people,4,0.011669305,81
10,receive,0,0.01163627,57
68,study,2,0.011623491,84
128,support,4,0.011515505,71
40,gap identify strength challenge,1,0.011462177,90
69,people,2,0.011360132,81
157,minimum income scheme february,5,0.011248501,75
70,low,2,0.011218394,68
129,study,4,0.011140911,84
189,mi,6,0.011139623,56
190,work,6,0.01106606,68
71,need,2,0.010985557,42
41,effectiveness eu member states,1,0.010949176,84
130,work,4,0.010946544,68
42,knowledge,1,0.010943674,39
100,gap,3,0.01084621,49
43,service,1,0.01081497,60
191,recipient,6,0.010812389,67
72,effectiveness,2,0.010804621,53
131,increase,4,0.010794659,63
158,measure,5,0.0107540805,57
44,recipient,1,0.010730309,67
159,mi,5,0.010647955,56
160,recipient,5,0.010645062,67
192,low,6,0.010568717,68
161,people,5,0.010564852,81
45,household,1,0.010551608,83
193,rate,6,0.010465751,45
11,find,0,0.010430899,54
73,find,2,0.010353933,54
46,mi,1,0.01032773,56
101,low,3,0.010292764,68
162,support,5,0.010205465,71
102,work,3,0.010199284,68
194,family,6,0.010123991,33
103,recipient,3,0.010062346,67
163,increase,5,0.010026712,63
12,impact,0,0.010005331,56
195,find,6,0.009963426,54
47,child,1,0.009811404,44
196,service,6,0.009739515,60
48,receive,1,0.009678837,57
164,receive,5,0.009605736,57
13,work,0,0.009574239,68
165,service,5,0.00953983,60
49,effect,1,0.0094977515,51
197,challenge,6,0.009479941,48
14,year,0,0.009475786,36
132,job,4,0.009368691,46
50,job,1,0.009366644,46
104,minimum income scheme february,3,0.009357723,75
105,measure,3,0.009312615,57
74,system,2,0.009283749,58
75,household,2,0.0092766965,83
15,eu,0,0.009236655,48
16,minimum income scheme february,0,0.009218629,75
198,member,6,0.009158528,48
76,support,2,0.009067517,71
106,find,3,0.009058673,54
77,rate,2,0.008994036,45
133,recipient,4,0.008965734,67
199,mi scheme,6,0.008947626,30
107,system,3,0.008809248,58
78,challenge,2,0.008802353,48
17,increase,0,0.008794793,63
134,social assistance,4,0.0087854825,42
79,mi,2,0.008709931,56
18,member,0,0.008689414,48
135,service,4,0.00862446,60
200,effectiveness,6,0.008546779,53
80,impact,2,0.008460438,56
166,gap identify strength challenge,5,0.008460182,90
19,need,0,0.008447837,42
201,impact,6,0.008444418,56
167,challenge,5,0.008380912,48
108,identify,3,0.008318247,42
136,impact,4,0.008290792,56
168,study,5,0.00826981,84
81,eu,2,0.008253698,48
137,measure,4,0.008177148,57
202,impact mi scheme,6,0.0081167435,39
169,mean,5,0.008089362,30
138,low,4,0.008057826,68
20,measure,0,0.008056548,57
82,policy,2,0.008004062,36
203,gap,6,0.007976938,49
83,identify,2,0.00794195,42
109,social assistance,3,0.007927984,42
110,child,3,0.007918329,44
21,february,0,0.007898781,37
111,mi,3,0.007881825,56
170,social assistance,5,0.007872643,42
204,reduce,6,0.0078546535,33
139,effect,4,0.007851743,51
171,rate,5,0.007848584,45
51,find,1,0.007792743,54
140,strength,4,0.007788872,40
22,low,0,0.0077809026,68
205,eu,6,0.007779782,48
112,strength,3,0.007765533,40
84,service,2,0.0077261995,60
172,policy,5,0.007700515,36
23,job,0,0.0076911445,46
206,february,6,0.007664139,37
24,high,0,0.0076595265,32
173,integration,5,0.007636556,39
85,evaluation,2,0.0076364167,32
113,effectiveness,3,0.007608276,53
52,member,1,0.007604226,48
53,mi benefit,1,0.007596847,24
207,identify,6,0.0075864876,42
208,mi benefit,6,0.007552592,24
209,increase,6,0.0075030937,63
86,act,2,0.00750069,34
174,employment,5,0.0074767633,38
175,states,5,0.0074680373,35
54,al,1,0.0074344533,31
141,february,4,0.007409293,37
114,municipality,3,0.0074039698,29
176,job,5,0.0073664314,46
142,child,4,0.00733243,44
25,effectiveness,0,0.007268619,53
87,social assistance,2,0.0072579496,42
26,gap,0,0.0072444435,49
88,job,2,0.0072284588,46
55,eu,1,0.007214645,48
89,recipient,2,0.007209145,67
143,gap,4,0.0071990206,49
56,datum,1,0.007153342,37
177,eu,5,0.0070726704,48
57,impact,1,0.0070666145,56
178,government,5,0.007064806,32
179,effectiveness,5,0.0070600677,53
27,effect,0,0.0069987983,51
144,s,4,0.0069744037,26
145,system,4,0.0069312686,58
115,provide,3,0.0069205626,40
28,al,0,0.0069117798,31
29,child,0,0.006889523,44
146,states,4,0.0068887407,35
116,al,3,0.0068738945,31
117,eu,3,0.0068562645,48
118,number,3,0.006837164,33
119,challenge,3,0.0068364693,48
58,result,1,0.0067908866,35
59,act,1,0.006741179,34
147,number,4,0.006729897,33
148,need,4,0.0066121896,42
149,identify,4,0.0065532275,42
