country,c1,c2,u1,u2
austria,-26.144873,-8.938137,-5.056201,4.89728
belgium,-13.748947,16.241507,-5.6149006,12.118133
bulgaria,-18.270042,-3.26343,-4.7629943,12.971216
croatia,-7.8895025,-0.9191757,-5.198523,11.089651
denmark,9.674137,8.158463,-3.9955423,11.415356
estonia,-32.713833,-15.857847,-4.5539727,5.8473024
finland,-27.541798,2.4761944,-5.130799,5.641189
france,-38.274483,-7.1270804,-4.072812,5.899502
germany,-0.18782637,-7.6176395,-4.50185,11.01867
greece,-18.567373,-17.22936,-5.319339,13.105727
hungary,-18.273481,4.939874,-5.1784654,12.840332
ireland,-30.336063,21.972023,-4.6786914,5.425618
latvia,-24.59707,12.1243305,-5.7196207,4.940892
malta,12.178789,-2.4760175,-3.6705842,11.023228
portugal,-26.518202,-26.138287,-5.425984,5.2948046
slovakia,-11.992696,-35.5659,-5.629839,11.635605
slovenia,14.5714855,-10.512658,-3.9321647,11.343493
spain,-11.937483,-9.267666,-5.080299,11.982414
sweden,-10.907195,-24.34032,-5.1378655,11.586288
the_netherlands,-37.899467,16.26158,-4.1059966,5.4125586
