country,"Employment, income, child.","Employment, income, work.","Work, income, and access.",Social assistance schemes,Social assistance schemes.1
austria,0.1983000040054321,0.1972000002861023,0.2037000060081482,0.2039999961853027,0.1968999952077865
belgium,0.2036000043153762,0.1912000030279159,0.2093999981880188,0.2021999955177307,0.1935999989509582
bulgaria,0.1990000009536743,0.1999000012874603,0.1996999979019165,0.1982000023126602,0.2031999975442886
croatia,0.202000007033348,0.201100006699562,0.2013999968767166,0.2011999934911728,0.1944999992847442
denmark,0.1985999941825866,0.224600002169609,0.1941999942064285,0.1773000061511993,0.2053000032901764
estonia,0.1917999982833862,0.1961999982595443,0.2057999968528747,0.2064000070095062,0.1997999995946884
finland,0.2016000002622604,0.1933999955654144,0.1985999941825866,0.2011999934911728,0.2052000015974044
france,0.1926999986171722,0.2044000029563903,0.2074999958276748,0.2010000050067901,0.1942999958992004
germany,0.2096000015735626,0.2020999938249588,0.1967000067234039,0.1962999999523162,0.1952999979257583
greece,0.1972000002861023,0.2023999989032745,0.1964000016450882,0.2064999938011169,0.197500005364418
hungary,0.1993999928236007,0.197500005364418,0.2028000056743621,0.1973000019788742,0.2030999958515167
ireland,0.197500005364418,0.1942999958992004,0.2097000032663345,0.1897999942302703,0.2087000012397766
latvia,0.2001000046730041,0.1914000064134597,0.2065999954938888,0.1996999979019165,0.2022999972105026
malta,0.2091999948024749,0.2179999947547912,0.1956000030040741,0.1914000064134597,0.1858000010251999
portugal,0.1907999962568283,0.1976999938488006,0.1965000033378601,0.2152000069618225,0.1996999979019165
slovakia,0.1941000074148178,0.1943999975919723,0.1821999996900558,0.2069000005722046,0.2223999947309494
slovenia,0.2110999971628189,0.2158000022172927,0.1949000060558319,0.2032999992370605,0.1748999953269958
spain,0.2006999999284744,0.2013999968767166,0.1985999941825866,0.1993999928236007,0.1999000012874603
sweden,0.2012999951839447,0.1986999958753585,0.1888999938964843,0.2070000022649765,0.2040999978780746
the_netherlands,0.2027000039815902,0.1844000071287155,0.2082999944686889,0.1921000033617019,0.2125999927520752
