country,c1,c2,u1,u2
austria,15.930776,-14.520194,3.2188003,3.3803177
belgium,26.915834,-13.559305,3.2842152,1.8327237
bulgaria,0.7142797,-14.340306,4.137085,8.659096
croatia,1.2454704,-8.166792,4.1674895,9.346962
cyprus,-13.094102,1.6311691,6.814568,8.336048
denmark,-16.353123,-12.4310255,6.6168604,8.896407
estonia,5.113559,-1.4403172,3.6354883,5.759448
finland,-6.2076354,-14.585726,5.7448635,8.713934
france,22.310184,-9.23614,3.4391239,2.4895642
germany,-2.12395,-2.2431417,5.1793895,8.739699
hungary,28.379198,10.101863,3.8346415,1.6193538
ireland,13.975365,2.2158782,2.9135199,3.8181639
italy,31.76927,0.04343065,3.7500086,1.8540001
latvia,13.61008,-7.290326,3.2499125,4.0415034
lithuania,-0.8989834,-29.876184,5.0437374,9.188201
malta,0.057423875,5.308746,4.615521,9.215337
portugal,9.873874,-13.498782,3.287979,4.520195
slovakia,-7.579985,-8.3640585,5.827741,9.050205
slovenia,26.848513,2.5859568,3.6507397,2.1306949
spain,7.126834,-7.639781,3.462985,5.081649
sweden,1.9523114,-23.05143,3.8850772,9.037174
the_netherlands,-21.870749,-6.173349,6.5038724,8.544696
