country,Minimum Income Schemes,", target: 0.006122481, area: 0.0060",Assistance for unemployed,Social assistance schemes,unemployment assistance schemes,Pes support individual,c1,c2,u1,u2
austria,0.1606000065803527,0.1794999986886978,0.1563999950885772,0.1669999957084655,0.1660999953746795,0.1703999936580658,15.930776,-14.520194,3.2188003,3.3803177
belgium,0.1414999961853027,0.188400000333786,0.1588000059127807,0.1504999995231628,0.1791000068187713,0.1817000061273574,26.915834,-13.559305,3.2842152,1.8327237
bulgaria,0.1680999994277954,0.1733999997377395,0.1675000041723251,0.1624000072479248,0.1699000000953674,0.1586000025272369,0.7142797,-14.340306,4.137085,8.659096
croatia,0.1705999970436096,0.1688999980688095,0.162100002169609,0.1618999987840652,0.1718000024557113,0.1648000031709671,1.2454704,-8.166792,4.1674895,9.346962
cyprus,0.2001000046730041,0.1976999938488006,0.1080000028014183,0.1592999994754791,0.2055999934673309,0.1291999965906143,-13.094102,1.6311691,6.814568,8.336048
denmark,0.2176000028848648,0.1587000042200088,0.1553000062704086,0.1999000012874603,0.1342000067234039,0.1342999935150146,-16.353123,-12.4310255,6.6168604,8.896407
estonia,0.1666000038385391,0.1665000021457672,0.1680999994277954,0.1536000072956085,0.1731999963521957,0.1720000058412552,5.113559,-1.4403172,3.6354883,5.759448
finland,0.1739999949932098,0.1758999973535537,0.1705999970436096,0.153899997472763,0.1701000034809112,0.1554999947547912,-6.2076354,-14.585726,5.7448635,8.713934
france,0.1573999971151352,0.1808999925851822,0.1572999954223632,0.1507000029087066,0.1743000000715255,0.1793999969959259,22.310184,-9.23614,3.4391239,2.4895642
germany,0.1730999946594238,0.1657000035047531,0.1729999929666519,0.1559000015258789,0.1641999930143356,0.1680999994277954,-2.12395,-2.2431417,5.1793895,8.739699
hungary,0.1203000023961067,0.1186999976634979,0.1432999968528747,0.1590999960899353,0.1195999979972839,0.3391000032424927,28.379198,10.101863,3.8346415,1.6193538
ireland,0.1729000061750412,0.1660999953746795,0.1494999974966049,0.1634999960660934,0.1645999997854232,0.1835000067949295,13.975365,2.2158782,2.9135199,3.8181639
italy,0.1352999955415725,0.1774999946355819,0.1509999930858612,0.1879999935626983,0.1458999961614608,0.2023999989032745,31.76927,0.04343065,3.7500086,1.8540001
latvia,0.1564999967813491,0.1701000034809112,0.1666000038385391,0.1682000011205673,0.1685999929904937,0.1700000017881393,13.61008,-7.290326,3.2499125,4.0415034
lithuania,0.119499996304512,0.13680000603199,0.2948000133037567,0.2158000022172927,0.1331000030040741,0.1000000014901161,-0.8989834,-29.876184,5.0437374,9.188201
malta,0.1797000020742416,0.1509999930858612,0.165800005197525,0.1624999940395355,0.1685999929904937,0.1723999977111816,0.057423875,5.308746,4.615521,9.215337
portugal,0.1647000014781952,0.1741999983787536,0.156700000166893,0.164000004529953,0.1692000031471252,0.1712000072002411,9.873874,-13.498782,3.287979,4.520195
slovakia,0.1766999959945678,0.1757999956607818,0.1668999940156936,0.1590999960899353,0.1650999933481216,0.1563999950885772,-7.579985,-8.3640585,5.827741,9.050205
slovenia,0.1411000043153762,0.1687999963760376,0.1515000015497207,0.1644999980926513,0.1577000021934509,0.2164999991655349,26.848513,2.5859568,3.6507397,2.1306949
spain,0.1659000068902969,0.1677999943494796,0.1641000062227249,0.164000004529953,0.1695999950170517,0.1685999929904937,7.126834,-7.639781,3.462985,5.081649
sweden,0.1599999964237213,0.1574999988079071,0.1826000064611435,0.166700005531311,0.1753000020980835,0.1580000072717666,1.9523114,-23.05143,3.8850772,9.037174
the_netherlands,0.2869000136852264,0.1199000030755996,0.1676999926567077,0.1159999966621398,0.185599997639656,0.1238999962806701,-21.870749,-6.173349,6.5038724,8.544696
