,word,topic_id,importance,word_count
60,social assistance,2,0.016839834,138
61,assistance,2,0.016648497,164
62,social service,2,0.016036209,123
0,activation,0,0.015075337,167
63,social assistance recipient,2,0.013989489,102
150,pes,5,0.013075918,107
1,scheme,0,0.013042552,160
90,assistance,3,0.01263742,164
120,people,4,0.01244532,169
30,scheme,1,0.011619335,160
151,support,5,0.011615967,156
2,labour,0,0.011402347,155
64,individual,2,0.011304088,125
65,support,2,0.011272265,156
31,include,1,0.01120486,126
121,unemployed,4,0.011110222,141
152,individual,5,0.010949917,125
3,education,0,0.010870639,94
4,support,0,0.010826789,156
91,social assistance recipient,3,0.010742437,102
122,receive,4,0.010612827,160
32,activation,1,0.010592388,167
153,labour,5,0.010591422,155
5,provide,0,0.010590126,137
154,person,5,0.010551934,114
92,provide,3,0.0105231935,137
33,people,1,0.010473463,169
123,exploratory study fill knowledge,4,0.0103634605,153
66,activation,2,0.010312819,167
34,assistance,1,0.010246349,164
93,social service,3,0.010155592,123
155,labour market,5,0.01007782,93
67,gap identify strength challenge,2,0.010057249,144
35,measure,1,0.010038848,132
36,gap identify strength challenge,1,0.010027848,144
124,assistance,4,0.0099272,164
94,exploratory study fill knowledge,3,0.009888759,153
95,people,3,0.009869441,169
125,scheme,4,0.009824986,160
96,receive,3,0.009736914,160
156,exploratory study fill knowledge,5,0.009633623,153
6,receive,0,0.009607975,160
68,labour,2,0.009607357,155
69,people,2,0.009534743,169
157,people,5,0.009524795,169
97,measure,3,0.009520353,132
126,case,4,0.009495763,122
7,exploratory study fill knowledge,0,0.00945375,153
98,activation,3,0.009429338,167
158,programme,5,0.009390453,119
70,receive,2,0.009369521,160
37,receive,1,0.009348904,160
8,people,0,0.009315461,169
38,labour,1,0.009313646,155
159,year,5,0.009243617,123
160,receive,5,0.009205093,160
39,need,1,0.009196183,101
99,social assistance,3,0.0089039765,138
161,training,5,0.008765171,104
40,unemployed,1,0.008747208,141
71,exploratory study fill knowledge,2,0.008727924,153
9,include,0,0.0086997785,126
100,scheme,3,0.008618002,160
101,participate,3,0.008591728,102
10,unemployed,0,0.008579924,141
41,integration,1,0.008530829,108
72,market,2,0.008479013,117
73,case,2,0.008428642,122
74,municipality,2,0.008398867,85
102,education,3,0.008367088,94
11,gap identify strength challenge,0,0.008360381,144
103,individual,3,0.008333844,125
75,child,2,0.0083297435,92
76,measure,2,0.008318996,132
104,support,3,0.008301518,156
162,gap identify strength challenge,5,0.008300046,144
42,provide,1,0.008290533,137
163,scheme,5,0.008280243,160
127,year,4,0.0081571415,123
128,market,4,0.008030389,117
129,gap identify strength challenge,4,0.008015243,144
130,social assistance,4,0.007988617,138
105,labour,3,0.007957396,155
106,programme,3,0.007948789,119
107,year,3,0.007944261,123
