country,c1,c2,u1,u2
austria,-51.632366,60.22475,-7.914724,3.0491977
belgium,-30.563011,66.03643,-8.495034,2.6167355
croatia,11.91656,5.574276,10.288038,-0.50411665
cyprus,54.950626,0.9571323,9.761055,-3.0621235
denmark,-3.6275232,-74.31318,9.402907,1.2303807
estonia,14.032292,-9.861601,10.501234,-0.9857568
finland,25.203543,-59.656563,10.349707,-2.4599602
france,-7.6798506,33.6818,9.371957,1.5687191
germany,-19.623014,49.10032,-8.840535,1.8481718
greece,39.49213,4.501197,9.509017,-2.7282085
hungary,5.995013,-58.79095,10.445606,0.116822794
ireland,-37.5119,48.363903,-8.240699,3.1155882
italy,-1.3984457,13.063761,9.647141,0.874761
latvia,-25.001629,-19.233562,-8.418604,2.0636299
lithuania,15.571599,-72.27606,10.053438,-1.2303756
luxembourg,28.757517,-22.131266,9.8882675,-2.3880544
malta,-28.306643,34.647743,-8.132858,2.3300424
portugal,-19.623465,18.454515,-8.950753,2.2210803
romania,53.206203,19.08961,9.337761,-3.1122227
slovakia,-0.33355933,-19.491714,9.937356,1.1764332
slovenia,8.073319,-34.415154,10.064944,-0.17570047
spain,21.953634,-40.3155,10.007438,-1.9114794
sweden,-4.9797244,-2.8889408,9.032043,1.1028526
the_netherlands,-44.129536,75.0529,-7.84141,3.1922383
