country,c1,c2,u1,u2
austria,28.450935,-5.714406,3.4774158,9.989906
belgium,13.753102,0.14536,-2.0974612,11.473444
bulgaria,1.6742575,-0.8904671,-1.3806537,14.60833
croatia,27.090706,-2.5481043,3.2764888,9.771043
cyprus,8.756176,4.0996523,-2.3150547,13.692142
denmark,14.664774,5.8661957,-1.5963856,11.413436
estonia,19.063269,0.8712763,-0.17826773,10.585793
finland,13.079616,2.3802638,-2.0143178,11.972279
france,15.953807,-1.036407,-1.1813045,11.050681
germany,24.002214,-3.3373384,1.8868184,9.525438
greece,25.901318,-4.696953,3.0887105,9.33202
hungary,10.362681,0.17865598,-1.9702193,13.347624
ireland,12.445923,5.5253863,-2.2545705,12.289892
italy,23.735666,3.2516763,1.9103569,10.011967
latvia,5.6144423,0.7782955,-1.6619669,14.090669
lithuania,12.03377,-1.5964173,-1.9689467,12.616814
luxembourg,26.065,2.0560102,2.8781705,9.7488365
malta,8.647425,-1.6609013,-1.9277717,13.938863
portugal,24.644548,-1.280747,2.4336438,9.73141
romania,21.071655,2.4214058,0.6394905,10.316097
slovakia,18.541117,-1.3520503,-0.4043887,10.914086
slovenia,21.699202,-0.20672554,0.9940015,10.179647
spain,16.886473,1.3297778,-0.8735593,10.792893
sweden,3.3555906,1.1162707,-1.409444,14.50275
the_netherlands,6.5845327,3.1141734,-1.9111718,14.364644
