,word,topic_id,importance,word_count
60,assistance,2,0.024325965,162
61,allowance,2,0.020205144,123
62,people,2,0.01910443,180
63,gmi,2,0.016438149,115
0,service,0,0.01592118,154
1,provide,0,0.015406997,182
64,social assistance,2,0.014942465,159
30,service,1,0.0144398175,154
31,work,1,0.0139343785,159
65,household,2,0.013919477,152
2,minimum,0,0.013066599,137
66,provide,2,0.012156994,182
32,poverty,1,0.011956603,138
3,level,0,0.011669011,125
33,provide,1,0.011196891,182
34,employment,1,0.011139426,120
4,employment,0,0.011129934,120
67,monthly,2,0.011000079,59
35,level,1,0.010952023,125
5,work,0,0.010916106,159
6,minimum income,0,0.010774283,87
68,receive,2,0.010760021,84
36,minimum,1,0.010134238,137
7,people,0,0.010024149,180
37,household,1,0.00992168,152
8,recipient,0,0.009904184,115
38,social assistance,1,0.009770385,159
69,labour,2,0.009535332,109
70,work,2,0.009336928,159
71,poverty,2,0.008996653,138
39,need,1,0.00899111,117
72,target,2,0.008749779,85
9,poverty,0,0.008584919,138
40,beneficiary,1,0.008474506,89
41,recipient,1,0.008461964,115
73,need,2,0.00843018,117
10,social assistance,0,0.008397658,159
74,individual,2,0.008289469,58
75,family,2,0.0079876,59
42,mi,1,0.007944026,87
11,household,0,0.007896459,152
43,people,1,0.007880837,180
12,mi,0,0.007826914,87
76,number,2,0.0077316463,69
13,need,0,0.007492991,117
44,market,1,0.0074208244,81
14,measure,0,0.0073843803,82
77,criterion,2,0.0073538288,58
78,increase,2,0.0073357592,68
79,age,2,0.0072123073,62
80,gap identify strength challenge,2,0.0070806225,63
45,labour,1,0.006965776,109
81,s,2,0.0069568497,70
82,exploratory study fill knowledge,2,0.0068437313,69
15,beneficiary,0,0.0068365764,89
46,integration,1,0.0067268643,71
47,social service,1,0.006696683,78
16,integration,0,0.006645448,71
83,minimum,2,0.0065309284,137
84,child,2,0.0064905705,62
48,measure,1,0.006462337,82
17,activation,0,0.006457674,64
85,recipient,2,0.006451293,115
18,social service,0,0.0064387727,78
86,year,2,0.0064056786,76
87,effectiveness eu member states,2,0.006399749,51
19,labour,0,0.0063992618,109
49,low,1,0.006332583,73
50,mean,1,0.006319995,71
20,consider,0,0.0062350133,77
88,include,2,0.0061564026,76
21,access,0,0.006151317,58
22,low,0,0.006104799,73
23,follow section outline feature,0,0.005978383,57
24,market,0,0.0058752503,81
51,activation,1,0.0058660787,64
52,place,1,0.005819233,58
89,act,2,0.005808395,36
53,access,1,0.0055603236,58
54,year,1,0.0053876955,76
25,reduce,0,0.005381276,58
55,term,1,0.005353659,53
26,outline,0,0.0053295535,49
56,mi support place secondly,1,0.005280557,57
27,structure household live provide,0,0.005154174,42
28,social service fifthly,0,0.005114683,48
57,education level country birth,1,0.0050892634,48
29,mean,0,0.005057337,71
58,eligibility,1,0.005044413,65
59,include,1,0.004953579,76
