country,c1,c2,u1,u2
austria,83.90086,-89.37889,8.59307,9.354095
belgium,30.281706,95.94407,6.6380095,9.8171835
bulgaria,-39.999393,10.166401,13.617859,7.2999516
croatia,58.049698,-37.919067,7.734516,9.378728
cyprus,-12.355679,-206.67621,4.9704485,9.599565
denmark,-157.11462,57.823677,15.0051565,5.742927
estonia,56.234837,6.178787,7.6261473,9.855433
finland,-151.87769,103.70618,14.696729,5.9292397
france,131.91045,88.97884,8.693176,10.548558
germany,-95.61697,-14.919499,14.919278,6.6482396
greece,1.1201075,-33.86625,5.2909727,10.013058
hungary,96.18176,33.129845,8.762579,10.052161
ireland,-111.18138,71.34316,15.145849,6.2057686
italy,12.658881,29.794899,5.7842646,10.266175
latvia,-97.575745,-114.838615,14.553268,6.381979
lithuania,-62.76154,-175.5868,14.057678,7.203348
luxembourg,1.1201075,-33.86625,5.5405436,9.688916
malta,-63.943386,139.68346,14.466538,6.891991
portugal,121.0979,-29.455463,8.428512,10.350663
romania,44.75972,-204.09334,7.250071,9.699516
slovakia,75.371376,123.245255,8.302697,9.716662
slovenia,-8.41026,144.74477,4.9711947,10.187469
spain,25.314703,-79.90105,6.456741,10.111762
sweden,-65.33678,-61.273163,14.060982,6.690831
the_netherlands,-12.276724,-119.27633,4.6579514,9.853054
