country,c1,c2,u1,u2
austria,-156.76993,428.1334,6.1467834,4.3409467
belgium,304.64795,-244.12482,11.537531,-10.767019
bulgaria,-246.67761,135.82579,5.5901566,4.2408333
croatia,81.24817,282.43494,10.08071,-11.917445
denmark,-459.36465,277.209,4.8313932,3.8565104
estonia,56.834564,107.97202,10.494932,-12.1785555
finland,-316.50827,-28.930786,5.285647,3.6766496
france,-100.35683,-6.7508554,6.6100287,4.7010922
germany,266.5463,-10.111175,11.407196,-11.191759
hungary,-103.461174,-266.01346,6.4294863,3.952119
ireland,-100.35683,-6.7508554,6.8737097,3.768363
italy,521.76154,-84.43514,11.25506,-10.150543
latvia,-100.35683,-6.7508554,7.0454416,4.276207
malta,457.47165,-372.45697,10.953254,-10.370032
portugal,-83.59966,207.58415,7.4260244,4.085121
slovenia,98.420975,-104.05185,10.448252,-11.512402
spain,148.78647,-334.60547,10.956737,-11.704772
sweden,255.17532,151.92691,10.804779,-10.938878
the_netherlands,-540.2594,-42.17773,4.899723,4.300138
