,word,topic_id,importance,word_count
150,household,5,0.019070933,83
0,exploratory study fill knowledge,0,0.01717886,96
30,level,1,0.0171538,92
90,study,3,0.016823154,84
120,exploratory study fill knowledge,4,0.016804487,96
1,gap identify strength challenge,0,0.016702607,90
151,effectiveness eu member states,5,0.01644996,84
121,gap identify strength challenge,4,0.015728772,90
91,people,3,0.01567901,81
122,level,4,0.015255758,92
123,household,4,0.015080267,83
92,gap identify strength challenge,3,0.015015419,90
2,level,0,0.014965893,92
3,study,0,0.014961144,84
31,study,1,0.014953996,84
32,system,1,0.014921258,58
152,exploratory study fill knowledge,5,0.014516072,96
4,recipient,0,0.014185301,67
60,gap identify strength challenge,2,0.014144341,90
93,exploratory study fill knowledge,3,0.014061295,96
153,impact,5,0.013733801,56
33,exploratory study fill knowledge,1,0.013685255,96
94,effectiveness eu member states,3,0.013639365,84
61,minimum income scheme february,2,0.013502573,75
5,people,0,0.013281136,81
62,work,2,0.01323747,68
95,support,3,0.013170465,71
34,low,1,0.013122044,68
63,level,2,0.013069396,92
64,increase,2,0.0127896955,63
6,household,0,0.012785836,83
65,effectiveness eu member states,2,0.012733405,84
35,work,1,0.012719468,68
36,people,1,0.012677668,81
124,minimum income scheme february,4,0.012540893,75
154,low,5,0.012420816,68
66,exploratory study fill knowledge,2,0.012413305,96
125,effectiveness eu member states,4,0.012406633,84
37,minimum income scheme february,1,0.012367641,75
7,support,0,0.012335394,71
38,gap identify strength challenge,1,0.012314581,90
96,increase,3,0.012296745,63
155,level,5,0.012292445,92
97,service,3,0.012286105,60
98,household,3,0.0122297425,83
99,level,3,0.012209271,92
156,impact mi scheme,5,0.011842945,39
126,people,4,0.011686199,81
8,effectiveness eu member states,0,0.011682088,84
39,support,1,0.011679079,71
67,measure,2,0.011642298,57
40,effectiveness,1,0.011633334,53
68,study,2,0.011600535,84
157,minimum income scheme february,5,0.011554533,75
127,receive,4,0.011485329,57
69,people,2,0.011371141,81
41,mi,1,0.011243093,56
9,receive,0,0.011220595,57
70,low,2,0.011159485,68
128,study,4,0.011099121,84
129,work,4,0.011030012,68
42,recipient,1,0.010903597,67
43,service,1,0.010886935,60
44,effect,1,0.010856392,51
130,support,4,0.010838058,71
45,effectiveness eu member states,1,0.010837193,84
71,need,2,0.010804505,42
158,mi,5,0.010736418,56
10,find,0,0.010723168,54
159,measure,5,0.010720271,57
72,effectiveness,2,0.010696822,53
100,gap,3,0.010688117,49
11,threshold,0,0.0106071755,31
131,increase,4,0.0104105035,63
101,work,3,0.010392785,68
73,find,2,0.01035501,54
74,system,2,0.010348884,58
102,low,3,0.010346417,68
103,recipient,3,0.010317215,67
160,recipient,5,0.010294151,67
161,people,5,0.010226226,81
46,child,1,0.010173148,44
47,knowledge,1,0.010057603,39
104,minimum income scheme february,3,0.00985962,75
105,system,3,0.0098192105,58
12,impact,0,0.009760645,56
162,increase,5,0.009736709,63
13,work,0,0.009689698,68
14,minimum income scheme february,0,0.009652343,75
75,rate,2,0.009620356,45
15,year,0,0.009592475,36
163,service,5,0.009509536,60
106,find,3,0.009394859,54
164,support,5,0.009356854,71
48,household,1,0.0092942435,83
165,gap identify strength challenge,5,0.009271614,90
76,mi,2,0.00922034,56
16,eu,0,0.009120825,48
77,challenge,2,0.009104811,48
132,recipient,4,0.009103468,67
107,measure,3,0.008988283,57
17,member,0,0.008916984,48
133,service,4,0.008764775,60
49,mi benefit,1,0.008708227,24
166,rate,5,0.008698541,45
167,challenge,5,0.008667448,48
134,job,4,0.008661625,46
135,effect,4,0.008641798,51
168,receive,5,0.008640129,57
50,receive,1,0.008614773,57
136,social assistance,4,0.008502513,42
18,increase,0,0.008490252,63
78,impact,2,0.008454464,56
79,support,2,0.008383024,71
80,household,2,0.008364307,83
108,identify,3,0.008350709,42
137,impact,4,0.008337188,56
51,job,1,0.008326961,46
52,find,1,0.008301044,54
81,eu,2,0.008268948,48
19,need,0,0.008224528,42
138,low,4,0.008207465,68
109,mi,3,0.00820132,56
169,study,5,0.008183862,84
82,effect,2,0.008122056,51
139,measure,4,0.008049197,57
20,february,0,0.008036815,37
83,identify,2,0.008024873,42
110,child,3,0.007847145,44
84,service,2,0.007834066,60
21,low,0,0.007798425,68
140,strength,4,0.0077496776,40
111,social assistance,3,0.0077370224,42
53,member,1,0.007734716,48
170,social assistance,5,0.0077324794,42
112,strength,3,0.007708339,40
22,measure,0,0.0077013476,57
113,effectiveness,3,0.007685091,53
171,integration,5,0.007672533,39
141,february,4,0.0076485323,37
172,mean,5,0.0076021603,30
23,effect,0,0.0076018004,51
85,policy,2,0.00759192,36
24,job,0,0.007581935,46
142,system,4,0.007542636,58
173,member,5,0.007419071,48
174,employment,5,0.007374526,38
175,policy,5,0.0073405528,36
25,effectiveness,0,0.0073389816,53
86,recipient,2,0.007329135,67
54,family,1,0.007321882,33
143,gap,4,0.0073200637,49
87,evaluation,2,0.007318584,32
176,beneficiary,5,0.0072654095,39
26,high,0,0.007260253,32
27,gap,0,0.007253231,49
88,member,2,0.007247961,48
177,gap,5,0.0072291167,49
178,eu,5,0.007216237,48
55,eu,1,0.007191331,48
179,effectiveness,5,0.007184892,53
114,challenge,3,0.007176411,48
115,member,3,0.0071012913,48
144,child,4,0.0070803356,44
89,employment,2,0.0070758634,38
28,rate,0,0.007009522,45
56,datum,1,0.0070029506,37
29,system,0,0.0069760005,58
57,al,1,0.0069384924,31
116,eu,3,0.0069365334,48
117,rate,3,0.006900488,45
118,provide,3,0.0068488256,40
58,impact,1,0.006847245,56
59,challenge,1,0.006836524,48
145,identify,4,0.0067628725,42
119,municipality,3,0.006747712,29
146,challenge,4,0.006739997,48
147,number,4,0.006736761,33
148,need,4,0.0066957,42
149,states,4,0.006406477,35
