country,"Employment, Income, and Children",Employment income schemes,"work, income, employment",child beneficiaries of social assistance,EU social assistance schemes,c1,c2,u1,u2
austria,0.1983000040054321,0.1972000002861023,0.2037000060081482,0.2039999961853027,0.1968999952077865,-26.144873,-8.938137,-5.056201,4.89728
belgium,0.2036000043153762,0.1912000030279159,0.2093999981880188,0.2021999955177307,0.1935999989509582,-13.748947,16.241507,-5.6149006,12.118133
bulgaria,0.1990000009536743,0.1999000012874603,0.1996999979019165,0.1982000023126602,0.2031999975442886,-18.270042,-3.26343,-4.7629943,12.971216
croatia,0.202000007033348,0.201100006699562,0.2013999968767166,0.2011999934911728,0.1944999992847442,-7.8895025,-0.9191757,-5.198523,11.089651
denmark,0.1985999941825866,0.224600002169609,0.1941999942064285,0.1773000061511993,0.2053000032901764,9.674137,8.158463,-3.9955423,11.415356
estonia,0.1917999982833862,0.1961999982595443,0.2057999968528747,0.2064000070095062,0.1997999995946884,-32.713833,-15.857847,-4.5539727,5.8473024
finland,0.2016000002622604,0.1933999955654144,0.1985999941825866,0.2011999934911728,0.2052000015974044,-27.541798,2.4761944,-5.130799,5.641189
france,0.1926999986171722,0.2044000029563903,0.2074999958276748,0.2010000050067901,0.1942999958992004,-38.274483,-7.1270804,-4.072812,5.899502
germany,0.2096000015735626,0.2020999938249588,0.1967000067234039,0.1962999999523162,0.1952999979257583,-0.18782637,-7.6176395,-4.50185,11.01867
greece,0.1972000002861023,0.2023999989032745,0.1964000016450882,0.2064999938011169,0.197500005364418,-18.567373,-17.22936,-5.319339,13.105727
hungary,0.1993999928236007,0.197500005364418,0.2028000056743621,0.1973000019788742,0.2030999958515167,-18.273481,4.939874,-5.1784654,12.840332
ireland,0.197500005364418,0.1942999958992004,0.2097000032663345,0.1897999942302703,0.2087000012397766,-30.336063,21.972023,-4.6786914,5.425618
latvia,0.2001000046730041,0.1914000064134597,0.2065999954938888,0.1996999979019165,0.2022999972105026,-24.59707,12.1243305,-5.7196207,4.940892
malta,0.2091999948024749,0.2179999947547912,0.1956000030040741,0.1914000064134597,0.1858000010251999,12.178789,-2.4760175,-3.6705842,11.023228
portugal,0.1907999962568283,0.1976999938488006,0.1965000033378601,0.2152000069618225,0.1996999979019165,-26.518202,-26.138287,-5.425984,5.2948046
slovakia,0.1941000074148178,0.1943999975919723,0.1821999996900558,0.2069000005722046,0.2223999947309494,-11.992696,-35.5659,-5.629839,11.635605
slovenia,0.2110999971628189,0.2158000022172927,0.1949000060558319,0.2032999992370605,0.1748999953269958,14.5714855,-10.512658,-3.9321647,11.343493
spain,0.2006999999284744,0.2013999968767166,0.1985999941825866,0.1993999928236007,0.1999000012874603,-11.937483,-9.267666,-5.080299,11.982414
sweden,0.2012999951839447,0.1986999958753585,0.1888999938964843,0.2070000022649765,0.2040999978780746,-10.907195,-24.34032,-5.1378655,11.586288
the_netherlands,0.2027000039815902,0.1844000071287155,0.2082999944686889,0.1921000033617019,0.2125999927520752,-37.899467,16.26158,-4.1059966,5.4125586
