country,Minimum Income Schemes,EU unemployed assistance scheme,Social assistance programs,Social assistance schemes,Unemployed assistance scheme,Activation measures for unemployed
austria,0.1606000065803527,0.1794999986886978,0.1563999950885772,0.1669999957084655,0.1660999953746795,0.1703999936580658
belgium,0.1414999961853027,0.188400000333786,0.1588000059127807,0.1504999995231628,0.1791000068187713,0.1817000061273574
bulgaria,0.1680999994277954,0.1733999997377395,0.1675000041723251,0.1624000072479248,0.1699000000953674,0.1586000025272369
croatia,0.1705999970436096,0.1688999980688095,0.162100002169609,0.1618999987840652,0.1718000024557113,0.1648000031709671
cyprus,0.2001000046730041,0.1976999938488006,0.1080000028014183,0.1592999994754791,0.2055999934673309,0.1291999965906143
denmark,0.2176000028848648,0.1587000042200088,0.1553000062704086,0.1999000012874603,0.1342000067234039,0.1342999935150146
estonia,0.1666000038385391,0.1665000021457672,0.1680999994277954,0.1536000072956085,0.1731999963521957,0.1720000058412552
finland,0.1739999949932098,0.1758999973535537,0.1705999970436096,0.153899997472763,0.1701000034809112,0.1554999947547912
france,0.1573999971151352,0.1808999925851822,0.1572999954223632,0.1507000029087066,0.1743000000715255,0.1793999969959259
germany,0.1730999946594238,0.1657000035047531,0.1729999929666519,0.1559000015258789,0.1641999930143356,0.1680999994277954
hungary,0.1203000023961067,0.1186999976634979,0.1432999968528747,0.1590999960899353,0.1195999979972839,0.3391000032424927
ireland,0.1729000061750412,0.1660999953746795,0.1494999974966049,0.1634999960660934,0.1645999997854232,0.1835000067949295
italy,0.1352999955415725,0.1774999946355819,0.1509999930858612,0.1879999935626983,0.1458999961614608,0.2023999989032745
latvia,0.1564999967813491,0.1701000034809112,0.1666000038385391,0.1682000011205673,0.1685999929904937,0.1700000017881393
lithuania,0.119499996304512,0.13680000603199,0.2948000133037567,0.2158000022172927,0.1331000030040741,0.1000000014901161
malta,0.1797000020742416,0.1509999930858612,0.165800005197525,0.1624999940395355,0.1685999929904937,0.1723999977111816
portugal,0.1647000014781952,0.1741999983787536,0.156700000166893,0.164000004529953,0.1692000031471252,0.1712000072002411
slovakia,0.1766999959945678,0.1757999956607818,0.1668999940156936,0.1590999960899353,0.1650999933481216,0.1563999950885772
slovenia,0.1411000043153762,0.1687999963760376,0.1515000015497207,0.1644999980926513,0.1577000021934509,0.2164999991655349
spain,0.1659000068902969,0.1677999943494796,0.1641000062227249,0.164000004529953,0.1695999950170517,0.1685999929904937
sweden,0.1599999964237213,0.1574999988079071,0.1826000064611435,0.166700005531311,0.1753000020980835,0.1580000072717666
the_netherlands,0.2869000136852264,0.1199000030755996,0.1676999926567077,0.1159999966621398,0.185599997639656,0.1238999962806701
