country,c1,c2,u1,u2
austria,-21.279707,-14.540816,18.145866,-24.829376
belgium,-17.075224,-12.324612,7.11565,-1.7409774
croatia,-16.790869,-14.851688,6.79111,-1.2831515
cyprus,-20.959703,-14.292689,18.319006,-25.16394
denmark,-17.341852,-18.365404,8.6380415,-1.2415782
estonia,-17.111244,-15.228867,7.2702875,-1.1326041
finland,-17.389484,-17.909327,8.338493,-1.480791
france,-16.204887,-13.648973,2.3121426,0.6275654
germany,-17.309061,-13.907135,7.645699,-1.5380074
greece,-18.96081,-13.82395,19.08949,-24.451027
hungary,-15.484671,-12.681755,1.6883314,0.58273387
ireland,-14.8778715,-16.119326,0.8212235,0.37450254
italy,-14.2793865,-16.43164,1.060541,0.04343032
latvia,-19.272692,-13.942843,18.713686,-24.727364
lithuania,-19.119371,-16.642345,18.936842,-25.076277
luxembourg,-18.580042,-15.120189,19.326618,-24.984028
malta,-15.089042,-15.757731,1.2030398,0.4781466
portugal,-16.249681,-14.455996,2.5225906,0.29582873
romania,-19.912277,-12.816895,18.686003,-25.441198
slovakia,-17.47302,-14.91407,7.9168053,-1.2073781
slovenia,-15.675458,-15.526532,1.9473469,0.17076513
spain,-18.509832,-16.181744,19.572596,-24.701876
sweden,-17.427235,-15.605636,8.098231,-0.8378842
the_netherlands,-14.0385,-13.562951,0.84435105,-0.13569357
