,word,topic_id,importance,word_count
60,gmi,2,0.04473456,611
150,social assistance,5,0.03918527,693
151,assistance,5,0.026384305,520
152,recipient,5,0.021565964,533
210,minimum,7,0.018669782,708
61,service,2,0.017091308,319
153,housing,5,0.01637736,311
62,beneficiary,2,0.015730923,344
30,person,1,0.015651297,537
0,people,0,0.015587695,524
211,threshold,7,0.014941743,379
31,month,1,0.014808479,576
154,allowance,5,0.0147295,530
212,age,7,0.014186017,392
32,social assistance,1,0.013889344,693
63,family,2,0.012950503,453
64,scheme,2,0.012930486,583
155,work,5,0.012928859,559
156,receive,5,0.012735576,490
120,minimum,4,0.012389418,708
65,employment,2,0.012206236,314
66,work,2,0.011950529,559
67,provide,2,0.011564273,446
68,gmi beneficiary,2,0.011441377,141
213,receive,7,0.010917049,490
214,people,7,0.010892853,524
33,receive,1,0.010884243,490
180,eur,6,0.010726553,324
90,level,3,0.010695683,518
34,assistance,1,0.010650148,520
215,minimum income,7,0.010587498,258
91,minimum,3,0.010585439,708
35,recipient,1,0.010475413,533
216,allowance,7,0.010409368,530
36,minimum,1,0.010399695,708
1,integration,0,0.010344512,176
2,right,0,0.010236369,159
69,number,2,0.010134552,281
70,level,2,0.010006934,518
157,mi,5,0.00990569,153
121,people,4,0.009684015,524
217,cost,7,0.00967014,251
92,person,3,0.009661679,537
181,year,6,0.009564528,436
218,support,7,0.009369288,452
182,payment,6,0.00933777,202
3,minimum,0,0.009297297,708
4,level,0,0.009268713,518
122,family,4,0.009216328,453
123,support,4,0.0090561425,452
93,poverty,3,0.009016982,296
183,minimum,6,0.008974082,708
124,person,4,0.008947373,537
5,month,0,0.008869211,576
219,single,7,0.00875053,302
6,s,0,0.008740571,316
184,rate,6,0.008729365,225
94,mean,3,0.008693599,306
158,month,5,0.00862981,576
159,system,5,0.008507474,191
37,support,1,0.0084880665,452
160,scheme,5,0.008454361,583
125,month,4,0.008233688,576
161,effectiveness eu member states,5,0.0082322275,366
162,minimum income scheme february,5,0.008210135,303
38,family,1,0.00819759,453
185,exploratory study fill knowledge,6,0.008126767,477
126,work,4,0.008101286,559
220,exploratory study fill knowledge,7,0.008087167,477
39,work,1,0.008050542,559
127,allowance,4,0.007949632,530
40,scheme,1,0.00794232,583
128,age,4,0.007883192,392
186,allowance,6,0.007853617,530
95,scheme,3,0.007827413,583
7,effectiveness eu member states,0,0.007821487,366
8,gap identify strength challenge,0,0.007815229,420
96,include,3,0.0077441554,335
221,asset,7,0.0077349134,172
163,eur,5,0.007718816,324
41,allowance,1,0.007663316,530
222,gap identify strength challenge,7,0.0076284087,420
9,exploratory study fill knowledge,0,0.0075876894,477
97,allowance,3,0.00758453,530
187,gap identify strength challenge,6,0.0075445883,420
129,year,4,0.007523758,436
71,month,2,0.0074625313,576
98,basic,3,0.0074602156,187
10,beneficiary,0,0.00736421,344
188,scheme,6,0.007353254,583
72,gmi recipient,2,0.0073134787,114
164,housing allowance,5,0.007305287,114
165,support,5,0.0073042563,452
223,recipient,7,0.0072986865,533
166,minimum,5,0.0072958237,708
73,low,2,0.0072583067,361
74,unemployed,2,0.007249348,151
42,exploratory study fill knowledge,1,0.0072431224,477
99,case,3,0.00720078,293
224,year,7,0.007190347,436
225,effectiveness eu member states,7,0.007132591,366
130,scheme,4,0.007127086,583
167,exploratory study fill knowledge,5,0.007060345,477
131,recipient,4,0.007048148,533
189,person,6,0.007032207,537
100,exploratory study fill knowledge,3,0.0069934973,477
226,minimum income scheme february,7,0.0069733714,303
43,year,1,0.0068880683,436
168,gap identify strength challenge,5,0.0068458025,420
227,work,7,0.0068182503,559
11,need,0,0.006761852,338
75,law,2,0.0067604613,164
44,gap identify strength challenge,1,0.0067220596,420
45,eu,1,0.0066856993,242
228,couple,7,0.006673892,156
132,gap identify strength challenge,4,0.006648658,420
46,unemployment,1,0.0066091865,174
101,month,3,0.006504083,576
12,scheme,0,0.0064904243,583
47,level,1,0.0064698416,518
76,person,2,0.006462186,537
229,budget,7,0.006409326,118
230,month,7,0.0063976394,576
169,special,5,0.0063675614,120
48,people,1,0.006351475,524
102,year,3,0.0063437796,436
103,people,3,0.0063407314,524
49,member,1,0.0063028177,328
104,need,3,0.006266928,338
170,education,5,0.006260536,131
231,poverty threshold,7,0.006192879,129
232,amount,7,0.0061760796,162
13,social integration,0,0.0061703897,60
50,increase,1,0.0061691236,290
233,non,7,0.0061615957,219
171,mi benefit,5,0.0061539635,69
14,person,0,0.0061427737,537
234,poverty,7,0.006137688,296
51,provide,1,0.006084925,446
133,provision,4,0.0060766456,122
15,support,0,0.006059222,452
235,cover,7,0.006031032,161
172,people,5,0.005999729,524
236,provide,7,0.005993653,446
173,integration,5,0.005945313,176
105,gap identify strength challenge,3,0.0059444015,420
16,increase,0,0.00593781,290
134,receive,4,0.0059141703,490
135,level,4,0.005908142,518
17,include,0,0.0058729784,335
18,case,0,0.005847807,293
106,provide,3,0.005839377,446
190,minimum income scheme february,6,0.005815033,303
237,social assistance,7,0.0057764747,693
136,poverty,4,0.0057721883,296
174,level,5,0.0057691224,518
175,low,5,0.0057544657,361
137,case,4,0.005747026,293
238,person,7,0.005746395,537
107,effectiveness eu member states,3,0.005742619,366
138,pay,4,0.0056239204,246
77,need,2,0.005621272,338
191,effectiveness eu member states,6,0.00555997,366
192,time,6,0.005542209,183
239,scheme,7,0.0055136005,583
52,single,1,0.005506691,302
139,include,4,0.0055047544,335
78,activation,2,0.0054660863,160
79,eligibility,2,0.0054489113,239
80,states minimum income scheme,2,0.0054384954,102
193,member,6,0.0054158736,328
194,month,6,0.005397661,576
53,case,1,0.0053956183,293
19,take account,0,0.005394887,174
54,set,1,0.0053767827,198
140,member,4,0.005356887,328
108,member,3,0.0053503704,328
176,measure,5,0.005349436,152
20,grant,0,0.0053256885,188
177,year,5,0.0052892775,436
178,municipality,5,0.0052831625,136
109,low,3,0.0052713007,361
21,social assistance,0,0.0052613956,693
81,mean,2,0.0052288184,306
82,february,2,0.005221555,219
83,minimum,2,0.0051987846,708
84,community,2,0.005198004,64
110,work,3,0.005196993,559
195,work,6,0.0051928996,559
141,health,4,0.0051724594,121
55,national,1,0.005141833,200
142,provide,4,0.0051386287,446
22,provide,0,0.0051103104,446
111,datum,3,0.005102225,141
179,requirement,5,0.005080341,122
112,follow,3,0.0050259936,187
56,need,1,0.00502066,338
113,s,3,0.0050168065,316
114,study,3,0.005002284,314
196,eligible,6,0.004984234,185
115,threshold,3,0.0049818885,379
85,require,2,0.0049722507,128
116,family,3,0.0049188575,453
23,minimum income,0,0.0049131936,258
143,threshold,4,0.004912521,379
197,mean,6,0.0049118,306
86,threshold,2,0.004889394,379
87,office,2,0.004889333,87
198,level,6,0.0048891576,518
199,include,6,0.0048696087,335
88,member,2,0.0048692105,328
200,age,6,0.0048648696,392
57,threshold,1,0.004861561,379
89,exploratory study fill knowledge,2,0.004844462,477
201,study,6,0.0048354194,314
24,receive,0,0.0047784178,490
25,mean,0,0.00477087,306
58,include,1,0.0047633178,335
26,low,0,0.004740553,361
144,single,4,0.004740083,302
27,study,0,0.0047068666,314
145,exploratory study fill knowledge,4,0.0047038463,477
146,monthly,4,0.00467784,200
147,increase,4,0.0046663987,290
117,apply,3,0.0046378057,207
118,receive,3,0.0046284753,490
202,condition,6,0.004624912,162
28,minimum income scheme february,0,0.004623017,303
119,eu,3,0.0046072253,242
148,eligibility,4,0.0046027494,239
149,take,4,0.004569101,175
203,poverty,6,0.004554852,296
59,employment,1,0.004549032,314
204,act,6,0.004532449,157
29,allowance,0,0.0045268685,530
205,adult,6,0.004450479,224
206,eligibility,6,0.0043741884,239
207,apply,6,0.0043569827,207
208,pay,6,0.0043503093,246
209,people,6,0.0042739017,524
