country,c1,c2,u1,u2
austria,37.107243,-12.455157,-2.2046614,8.136446
belgium,15.405337,18.71598,2.6597607,5.1605415
bulgaria,-15.995121,-4.4782043,5.3816333,2.109104
croatia,39.731853,-1.0510961,-2.5702026,7.7914367
cyprus,-2.5915532,3.9026608,4.6830845,2.6374142
denmark,23.209677,13.025884,1.4988486,5.860226
estonia,20.230587,3.1514506,1.9109846,5.5728946
finland,7.9555097,4.1763406,3.7126217,3.7421935
france,15.1208725,3.2023811,3.1455,4.990696
germany,35.001205,-5.448375,-1.9856821,8.48649
greece,41.008255,-6.2242846,-2.8675902,7.9849334
hungary,5.501029,-1.3075268,3.793864,3.2946942
ireland,3.8304107,8.153002,3.780879,2.798315
italy,32.764038,6.1358256,-1.6026199,8.272392
latvia,-4.2553425,-4.05506,4.504838,2.2335308
lithuania,10.931505,-2.798413,3.4352007,4.241714
luxembourg,38.579338,5.357685,-2.6277099,8.381833
malta,1.8043615,-5.9892263,4.290619,2.9853919
portugal,32.62785,-1.2381002,-1.7490844,8.694053
romania,25.429625,4.5715604,1.0757987,6.121768
slovakia,15.502456,8.812635,2.7142239,4.842807
slovenia,25.288717,-0.6367286,1.1107999,5.7004375
spain,18.621946,-2.6094072,2.062617,5.3042607
sweden,-10.133093,-5.487258,5.0842824,2.3139815
the_netherlands,-7.368387,2.8688767,4.9434805,2.094747
