country,0,1,2,c1,c2
Austria,0.5220000147819519,0.31029999256134033,0.16769999265670776,-13.846971,-2.384287
Belgium,0.6105999946594238,0.2851000130176544,0.10440000146627426,-17.453428,-3.957827
Bulgaria,0.7452999949455261,0.15860000252723694,0.09610000252723694,-19.240566,-10.77386
Czechia,0.8730000257492065,0.04879999905824661,0.07819999754428864,-20.52945,-15.061697
Cyprus,0.0771000012755394,0.0608999989926815,0.8619999885559082,-18.951859,8.097664
Germany,0.3296000063419342,0.30410000681877136,0.36640000343322754,-7.997319,2.5509646
Denmark,0.649399995803833,0.15700000524520874,0.19349999725818634,-16.274464,-7.7691073
Estonia,0.7321000099182129,0.18870000541210175,0.07919999957084656,-20.641312,-7.992578
Croatia,0.30959999561309814,0.46399998664855957,0.2264000028371811,-9.116032,7.952968
Finland,0.31299999356269836,0.4388999938964844,0.24799999594688416,-7.472516,5.707207
France,0.5127000212669373,0.364300012588501,0.12300000339746475,-15.798928,-0.21849136
Malta,0.15880000591278076,0.06480000168085098,0.7764000296592712,-15.938349,7.64946
Luxembourg,0.08649999648332596,0.46880000829696655,0.4447000026702881,-3.6520233,6.4492416
Lithuania,0.05130000039935112,0.894599974155426,0.05420000106096268,1.093725,12.879779
Latvia,0.050700001418590546,0.8597999811172485,0.08959999680519104,-0.4641844,15.676312
Italy,0.6266999840736389,0.06239999830722809,0.3109000027179718,-11.621263,-11.2397
Ireland,0.05090000107884407,0.8867999911308289,0.062199998646974564,-3.527182,14.936609
Hungary,0.04859999939799309,0.8302000164985657,0.12120000272989273,-1.9559958,12.115646
Greece,0.7382000088691711,0.09619999676942825,0.1657000035047531,-16.88339,-13.126181
Spain,0.5820000171661377,0.0966000035405159,0.321399986743927,-11.5136595,-8.083395
Netherlands,0.313400000333786,0.12349999696016312,0.5630999803543091,-7.3777194,-0.9835247
Poland,0.01209999993443489,0.013000000268220901,0.9749000072479248,-17.44328,10.672248
Portugal,0.9334999918937683,0.03370000049471855,0.03269999846816063,-23.947754,-14.988146
Romania,0.8226000070571899,0.12049999833106995,0.05689999833703041,-22.575756,-11.585946
Sweden,0.6503000259399414,0.1421000063419342,0.20759999752044678,-14.915883,-10.237394
Slovenia,0.39800000190734863,0.30079999566078186,0.3012000024318695,-10.9827585,2.643114
Slovakia,0.17430000007152557,0.5659999847412109,0.2596000134944916,-5.5711393,9.372755
