country,0,1,c1,c2
Austria,0.9225000143051147,0.07750000059604645,-5.6808386,1.0555751
Belgium,0.43140000104904175,0.5685999989509583,-1.133489,0.74729216
Bulgaria,0.5960999727249146,0.40389999747276306,-2.2111015,0.85436
Czechia,0.18279999494552612,0.8172000050544739,3.7380707,0.5284139
Cyprus,0.5206000208854675,0.47940000891685486,-1.6756984,0.7989644
Germany,0.07429999858140945,0.9257000088691711,4.670269,-0.19176456
Denmark,0.04769999906420708,0.9523000121116638,4.992924,0.03389638
Estonia,0.25029999017715454,0.7497000098228455,3.1107924,0.2817964
Croatia,0.20909999310970306,0.7908999919891357,3.4477596,0.38869625
Finland,0.09309999644756317,0.9068999886512756,4.5726295,0.5051154
France,0.8511999845504761,0.14880000054836273,-4.9583063,1.1325917
Malta,0.1906999945640564,0.8093000054359436,3.6048918,0.013412205
Luxembourg,0.17080000042915344,0.829200029373169,3.8098352,-0.048526775
Lithuania,0.7376000285148621,0.2624000012874603,-3.616614,0.98254955
Latvia,0.7027999758720398,0.2971999943256378,-3.2141962,0.9463372
Italy,0.9688000082969666,0.031199999153614044,-6.1994176,1.0784568
Ireland,0.0640999972820282,0.9358999729156494,4.8640842,0.39117834
Hungary,0.7768999934196472,0.22310000658035278,-4.060792,1.0260714
Greece,0.8320000171661377,0.1679999977350235,-4.7108736,1.0685366
Spain,0.9603999853134155,0.03959999978542328,-6.0702,0.9347486
Netherlands,0.10589999705553055,0.89410001039505,4.380648,-0.15087149
Poland,0.8393999934196472,0.16060000658035278,-4.8051963,1.1192452
Portugal,0.9660999774932861,0.033900000154972076,-6.1095023,1.4253143
Romania,0.95660001039505,0.04340000078082085,-5.9701457,1.4584818
Sweden,0.14010000228881836,0.8598999977111816,4.1548996,0.49654317
Slovenia,0.6287000179290771,0.37130001187324524,-2.5092082,0.8841626
Slovakia,0.8025000095367432,0.19750000536441803,-4.347565,1.0468541
