country,0,1,c1,c2
austria,0.35339999198913574,0.29170000553131104,-36.35509,-4.4770665
belgium,0.2962999939918518,0.4277999997138977,54.56853,-25.376263
bulgaria,0.15279999375343323,0.6668999791145325,65.50161,-23.177378
croatia,0.35679998993873596,0.30390000343322754,-20.32684,12.673949
cyprus,0.3059999942779541,0.3582000136375427,45.443207,-15.332275
denmark,0.3529999852180481,0.3091999888420105,-11.982046,5.1496377
estonia,0.375900000333786,0.295199990272522,-44.260582,25.220066
finland,0.3452000021934509,0.3158999979496002,-2.5591607,-6.093578
france,0.3305000066757202,0.32260000705718994,22.787378,-3.8292296
germany,0.3443000018596649,0.2930000126361847,-29.212072,-12.748048
greece,0.35429999232292175,0.30869999527931213,-19.029451,-1.4818432
hungary,0.3499000072479248,0.31220000982284546,-4.3203363,12.265375
ireland,0.3061000108718872,0.30070000886917114,34.700623,12.716678
italy,0.357699990272522,0.3041999936103821,-28.306484,6.150913
latvia,0.3379000127315521,0.3643999993801117,39.758095,-26.917124
lithuania,0.38830000162124634,0.2957000136375427,-53.83926,18.63673
luxembourg,0.36550000309944153,0.31049999594688416,-29.631315,19.72719
malta,0.33550000190734863,0.33239999413490295,21.087215,-16.437002
portugal,0.3276999890804291,0.33009999990463257,30.88282,-10.978753
romania,0.3456000089645386,0.31369999051094055,2.4475691,3.4134269
slovakia,0.3337000012397766,0.3100000023841858,15.253085,6.6649513
slovenia,0.3450999855995178,0.3197000026702881,7.920234,-7.1973047
spain,0.375,0.3010999858379364,-42.763786,14.417239
sweden,0.3407000005245209,0.3402999937534332,27.61532,-24.646765
the_netherlands,0.29429998993873596,0.3197999894618988,41.06759,5.1334825
