country,NO&T National energy policy,NO&T GHG emissions,NO&T Sustainable transport,NO&T All developments,NO&T Renewable energy sources,P&M National energy policy,P&M GHG emissions,P&M Sustainable transport,P&M All developments,P&M Renewable energy sources,CS&RP National energy policy,CS&RP GHG emissions,CS&RP Sustainable transport,CS&RP All developments,CS&RP Renewable energy sources,c1,c2,u1,u2
Austria,0.2310999929904937,0.1561000049114227,0.1833000034093856,0.1360999941825866,0.293500006198883,0.3413000106811523,0.0201999992132186,0.5728999972343445,0.0381999984383583,0.0274000000208616,0.1591999977827072,0.3605000078678131,0.1414999961853027,0.151199996471405,0.1876000016927719,-7.736419,-0.60269123,4.5259643,1.7132039
Belgium,0.0579999983310699,0.070200003683567,0.2011999934911728,0.0454000011086463,0.6251999735832214,0.0324000008404254,0.0182000007480382,0.913699984550476,0.0142999999225139,0.0214000009000301,0.0983999967575073,0.4483000040054321,0.0953999981284141,0.0869999974966049,0.270900011062622,-10.155533,-1.7766733,-0.55882704,3.260219
Bulgaria,0.0674000009894371,0.650600016117096,0.0544999986886978,0.0944999977946281,0.1331000030040741,0.3043000102043152,0.0538000017404556,0.1739999949932098,0.4151000082492828,0.052700001746416,0.0502000004053115,0.7741000056266785,0.0405000001192092,0.0640999972820282,0.0710999965667724,-7.353321,5.0706162,5.0947723,2.6374972
Czechia,0.063799999654293,0.1925999969244003,0.0562999993562698,0.4600000083446502,0.227400004863739,0.0750999972224235,0.0351000018417835,0.1803999990224838,0.675599992275238,0.0337999984622001,0.068800002336502,0.6202999949455261,0.0592000000178813,0.169400006532669,0.0822999998927116,-9.865034,5.187177,-1.2877384,1.8985591
Cyprus,0.1718000024557113,0.1615000069141388,0.137700006365776,0.1793999969959259,0.3495000004768371,0.2813000082969665,0.1459999978542328,0.2908999919891357,0.1753000020980835,0.1064999997615814,0.1246000006794929,0.4943999946117401,0.0785999968647956,0.1181000024080276,0.1843000054359436,-8.073992,2.2453332,4.0681267,2.2261486
Germany,0.0970999971032142,0.1371999979019165,0.1435000002384185,0.1154000014066696,0.5066999793052673,0.067900002002716,0.0282000005245208,0.7793999910354614,0.0662000030279159,0.0582999996840953,0.096000000834465,0.4056999981403351,0.1024999991059303,0.1292999982833862,0.2666000127792358,-9.668131,-1.3755114,-0.03347483,2.799882
Denmark,0.065700002014637,0.0654999986290931,0.189300000667572,0.096900001168251,0.5825999975204468,0.0860000029206276,0.0474999994039535,0.4135999977588653,0.1234999969601631,0.3294000029563904,0.0806000009179115,0.6067000031471252,0.0800999999046325,0.0888999998569488,0.1438000053167343,-9.508829,1.3020533,0.1836508,2.0786905
Estonia,0.1162000000476837,0.1713999956846237,0.1504999995231628,0.1307999938726425,0.4311000108718872,0.0746000036597251,0.0742999985814094,0.567300021648407,0.2129999995231628,0.0707999989390373,0.0763999968767166,0.6456999778747559,0.0993999987840652,0.0842000022530555,0.094200000166893,-8.972038,0.6011103,1.2726268,1.8732221
Croatia,0.1204999983310699,0.2053000032901764,0.0912000015377998,0.2928000092506408,0.2901999950408935,0.0450999997556209,0.013600000180304,0.0538000017404556,0.8733000159263611,0.0141000002622604,0.1343999952077865,0.4334999918937683,0.1115999966859817,0.1553999930620193,0.1650000065565109,-10.16951,5.62434,-0.95957935,2.0184488
Finland,0.0860999971628189,0.1634999960660934,0.0885000005364418,0.1480000019073486,0.5138000249862671,0.1154000014066696,0.0754999965429306,0.352400004863739,0.2942999899387359,0.1623000055551529,0.0745000019669532,0.4611999988555908,0.0815000012516975,0.1149000003933906,0.2678999900817871,-9.57115,1.8955106,-0.32393697,2.038245
