country,NO&T Development and support,NO&T natural gas,NO&T Energy poverty alleviation,P&M Development and support,P&M natural gas,P&M Energy poverty alleviation,CS&RP Development and support,CS&RP natural gas,CS&RP Energy poverty alleviation,c1,c2,u1,u2
Austria,0.3260000050067901,0.2287999987602234,0.4453000128269195,0.6498000025749207,0.1509000062942505,0.19930000603199,0.2759000062942505,0.398499995470047,0.3255999982357025,-6.3764815,4.932821,1.3563532,1.6171606
Belgium,0.5645999908447266,0.1076999977231025,0.3276999890804291,0.8422999978065491,0.0838000029325485,0.0738999992609024,0.2231999933719635,0.5677000284194946,0.2091999948024749,-13.686419,-4.2958107,-1.0618291,-0.069857515
Bulgaria,0.1974000036716461,0.4476999938488006,0.3549000024795532,0.7067999839782715,0.193800002336502,0.0993999987840652,0.0988999977707862,0.7980999946594238,0.1030000001192092,-11.435954,-16.622799,-0.6423183,0.45172372
Czechia,0.1826000064611435,0.3246000111103058,0.4927999973297119,0.5367000102996826,0.2353000044822693,0.2280000001192093,0.0865999981760978,0.857200026512146,0.0562000013887882,-5.646406,-14.927472,1.2875526,2.0635245
Cyprus,0.2802000045776367,0.1477999985218048,0.5720000267028809,0.5192999839782715,0.161200001835823,0.3194999992847442,0.2694000005722046,0.4147999882698059,0.3158000111579895,-4.0098352,10.853245,1.4445766,2.861521
Germany,0.4203000068664551,0.1605000048875808,0.4190999865531921,0.7914000153541565,0.1020999997854232,0.1064999997615814,0.2806999981403351,0.4424000084400177,0.2768999934196472,-9.85388,-0.3108405,0.32061112,0.7893275
Denmark,0.2261999994516372,0.1693000048398971,0.6044999957084656,0.4688999950885772,0.1289999932050705,0.402099996805191,0.1597000062465667,0.5166000127792358,0.3237999975681305,-1.0845072,14.8098545,1.6355176,4.306818
Estonia,0.1559000015258789,0.1300999969244003,0.7139999866485596,0.3831000030040741,0.1415999978780746,0.4751999974250793,0.0891999974846839,0.5662000179290771,0.3445999920368194,4.478247,20.728325,-6.3859134,11.007888
Croatia,0.2437999993562698,0.2707000076770782,0.4855000078678131,0.5264000296592712,0.1752000004053115,0.2984000146389007,0.1108999997377395,0.7533000111579895,0.1358000040054321,-2.033428,-12.570818,1.7331946,3.8325691
Finland,0.1590999960899353,0.1586000025272369,0.6822999715805054,0.3589999973773956,0.164900004863739,0.4760000109672546,0.1616999953985214,0.4778999984264374,0.36039999127388,2.3911598,17.299526,-6.187587,10.426918
France,0.4375,0.2614000141620636,0.3012000024318695,0.6029000282287598,0.1856999993324279,0.2114000022411346,0.7131999731063843,0.2488999962806701,0.0379000008106231,-3.011983,0.670668,1.6881528,3.2613163
Malta,0.2815000116825104,0.214599996805191,0.5040000081062317,0.4650000035762787,0.1745000034570694,0.3605999946594238,0.257999986410141,0.3991000056266784,0.3429000079631805,-0.5237405,9.234445,1.839061,4.6562896
Luxembourg,0.4169000089168548,0.2478999942541122,0.3352000117301941,0.5867000222206116,0.1675000041723251,0.2458000034093856,0.2375999987125396,0.4670000076293945,0.2953999936580658,-10.381207,5.504843,-0.04713042,0.5222289
Lithuania,0.19930000603199,0.1894000023603439,0.611299991607666,0.3136999905109405,0.1895000040531158,0.4968000054359436,0.1168000027537345,0.5259000062942505,0.3573000133037567,6.9162474,16.659369,-6.0325923,11.522544
Latvia,0.2468000054359436,0.2585000097751617,0.494700014591217,0.384799987077713,0.2169999927282333,0.3982000052928924,0.0939000025391578,0.2982999980449676,0.607699990272522,7.2561874,9.633518,-6.2907476,11.320791
Italy,0.5626999735832214,0.1717000007629394,0.2655999958515167,0.809499979019165,0.1067999973893165,0.0837000012397766,0.2019000053405761,0.65420001745224,0.1439000070095062,-17.484163,-6.0013676,-0.9627994,-0.73466796
Ireland,0.4645000100135803,0.1103999987244606,0.4250999987125397,0.7267000079154968,0.0971999987959861,0.1761000007390976,0.1535000056028366,0.6323999762535095,0.2141000032424926,-17.683172,-0.9911238,-1.1953373,-0.45611924
Hungary,0.2782999873161316,0.3607999980449676,0.3609000146389007,0.5245000123977661,0.2198999971151352,0.2556000053882599,0.062399998307228,0.8838000297546387,0.0538000017404556,-6.8052406,-18.99217,1.0085334,1.6264905
Spain,0.3652999997138977,0.2608999907970428,0.3738999962806701,0.6762999892234802,0.1260000020265579,0.1977999955415725,0.1279000043869018,0.7720000147819519,0.100100003182888,-10.388235,-11.404545,-0.28212225,0.92080885
Netherlands,0.4180999994277954,0.1841000020503997,0.3977999985218048,0.4781999886035919,0.1932999938726425,0.3285000026226043,0.1273999959230423,0.6018000245094299,0.2707999944686889,-12.043932,9.30483,-0.44256228,0.05731872
Poland,0.2275999933481216,0.2377000004053115,0.5346999764442444,0.3398999869823456,0.1363999992609024,0.5236999988555908,0.0876000002026557,0.809499979019165,0.1028999984264373,4.33429,-12.0463085,-6.0303073,10.739532
Portugal,0.4097000062465668,0.1606999933719635,0.429500013589859,0.7153000235557556,0.1061000004410743,0.1785999983549118,0.210099995136261,0.6154000163078308,0.1745000034570694,-14.491896,0.643236,-0.73778516,-0.49255544
Romania,0.2418999969959259,0.2560000121593475,0.5020999908447266,0.578499972820282,0.2619000077247619,0.1597000062465667,0.0829000025987625,0.8375999927520752,0.0794999971985817,-2.3909662,-17.46447,1.3810587,3.5806656
Sweden,0.2028000056743621,0.1724999994039535,0.6247000098228455,0.3921000063419342,0.1381999999284744,0.4697000086307525,0.1553999930620193,0.3892000019550323,0.4553999900817871,3.9568481,12.959349,-6.5803766,10.785276
Slovenia,0.3887999951839447,0.3555999994277954,0.2556000053882599,0.4666999876499176,0.2655999958515167,0.2676999866962433,0.1376000046730041,0.777899980545044,0.0843999981880188,-8.908019,-22.599825,0.55881745,1.143746
Slovakia,0.2213999927043914,0.1611000001430511,0.6173999905586243,0.5418999791145325,0.133200004696846,0.3248000144958496,0.1288000047206878,0.7243000268936157,0.1468999981880188,-0.050623775,-9.167699,2.221559,4.4322624
