,word,topic_id,importance,word_count
0,electricity,0,0.016533751,1322
1,price,0,0.01438433,930
30,support,1,0.014240738,1426
60,system,2,0.012368446,1479
31,project,1,0.01214987,1327
61,climate,2,0.011915333,1068
32,national,1,0.011596842,1573
2,sector,0,0.01056779,1522
33,research innovation,1,0.010379479,861
3,gas,0,0.01011356,775
62,national,2,0.009686413,1573
63,plan,2,0.009678219,1191
64,new,2,0.009649304,1050
34,plan,1,0.00908146,1191
4,fuel,0,0.008787092,645
65,programme,2,0.008756098,1047
5,source,0,0.008733281,745
35,area,1,0.008199651,1120
36,system,1,0.008192216,1479
6,total,0,0.008187466,606
66,sector,2,0.007989929,1522
7,renewable,0,0.0074028606,966
67,area,2,0.007381909,1120
8,cost,0,0.007265036,629
37,develop,1,0.0072377194,774
38,competitiveness,1,0.0071165245,599
39,use,1,0.0069074575,1035
40,policy,1,0.0068469252,777
68,project,2,0.00683467,1327
41,measure,1,0.0068001957,781
9,increase,0,0.0067333994,898
10,investment,0,0.006619661,811
42,sector,1,0.006523958,1522
43,set,1,0.0065030977,801
69,set,2,0.0064594815,801
44,new,1,0.006454669,1050
11,include,0,0.0064294315,1032
12,low,0,0.0062490655,679
45,programme,1,0.006234023,1047
70,funding,2,0.0061300118,569
71,renewable,2,0.0060595,966
13,natural gas,0,0.005833495,387
46,european,1,0.0057959137,734
72,objective,2,0.0057669934,717
14,high,0,0.0057229856,541
73,include,2,0.005632576,1032
47,business,1,0.005596446,575
15,tax,0,0.0055615027,369
48,objective,1,0.0055445116,717
74,use,2,0.005537141,1035
16,year,0,0.005514116,536
75,target,2,0.0054946057,728
76,fund,2,0.005489503,812
49,climate,1,0.0054146675,1068
17,support,0,0.0053847656,1426
77,process,2,0.0053345836,486
50,priority,1,0.0052792067,489
78,industry,2,0.005273088,697
18,national,0,0.005173116,1573
51,transition,1,0.005150224,512
52,target,1,0.005135874,728
79,develop,2,0.0050921994,774
19,table,0,0.005039927,359
53,include,1,0.005019328,1032
54,fund,1,0.0050125946,812
20,subsidy,0,0.004996124,346
55,strategy,1,0.0049865954,506
80,storage,2,0.0049856934,664
81,market,2,0.0049428595,711
56,promote,1,0.004930213,564
82,policy,2,0.0048947935,777
83,european,2,0.0048875404,734
21,power,0,0.0048676906,448
22,use,0,0.0048251264,1035
57,energy efficiency,1,0.0047279797,690
84,measure,2,0.004679044,781
85,initiative,2,0.0046529444,319
86,focus,2,0.004609891,454
58,economy,1,0.0045871083,442
59,investment,1,0.004539616,811
23,system,0,0.0044307057,1479
87,implementation,2,0.0044279117,525
24,eu,0,0.004407098,553
25,market,0,0.0043058703,711
26,supply,0,0.0042613856,393
27,figure,0,0.0042409315,287
88,support,2,0.004190709,1426
89,promote,2,0.0041897343,564
28,number,0,0.0040885634,354
29,fossil fuel,0,0.004087696,279
