,country,cluster_decarb,cluster_enef,cluster_ensec,cluster_intmar,cluster_ri
0,Austria,3,6,6,1,1
1,Belgium,3,7,6,3,2
2,Bulgaria,5,1,6,5,4
3,Czechia,4,3,5,5,3
4,Cyprus,2,6,5,1,4
5,Germany,3,5,4,3,1
6,Denmark,2,6,5,2,1
7,Estonia,2,6,5,2,4
8,Croatia,4,1,2,4,4
9,Finland,2,6,5,2,4
10,France,6,2,8,6,2
11,Malta,2,6,5,1,4
12,Luxembourg,3,5,5,1,4
13,Lithuania,5,1,5,2,4
14,Italy,1,4,7,3,4
15,Ireland,3,6,4,3,1
16,Hungary,5,3,1,5,4
17,Spain,1,2,5,5,1
18,Netherlands,3,6,6,1,1
19,Poland,5,3,1,4,3
20,Portugal,1,6,5,3,4
21,Romania,5,6,1,5,2
22,Sweden,3,4,4,2,4
23,Slovenia,5,2,6,5,4
24,Slovakia,4,3,3,4,3
