country,21,22,23,24,25,26,total
Greece,7.9,10.0,10.0,0.0,0.8,4.7,33.3
Spain,7.1,8.6,9.4,0.0,0.8,4.7,30.7
France,6.0,8.6,3.3,5.0,-0.4,6.7,29.2
Finland,6.0,8.2,3.3,5.0,0.0,6.7,29.1
Ireland,3.8,5.7,3.3,5.0,1.6,6.7,26.1
Italy,3.0,2.5,5.8,2.5,1.6,6.7,22.1
Belgium,4.3,5.8,4.7,5.0,0.0,1.3,21.2
Croatia,6.9,1.0,7.4,0.0,0.0,5.7,20.9
Sweden,3.2,7.5,6.9,0.0,0.4,1.3,19.4
Lithuania,3.2,4.2,4.2,5.0,0.8,1.7,19.0
Latvia,2.3,3.5,2.8,5.0,0.4,4.7,18.6
Hungary,-0.1,5.4,4.2,5.0,-0.4,4.3,18.4
Czech Republic,1.9,8.3,4.4,0.0,0.8,2.7,18.1
Denmark,2.3,3.9,0.8,5.0,0.0,5.7,17.7
EU28AVERAGE,2.6,4.4,3.3,2.9,0.4,3.5,17.1
Romania,3.0,4.2,2.5,0.0,1.6,5.7,16.9
Poland,3.9,6.0,5.1,-2.5,0.4,3.3,16.3
Estonia,4.4,4.9,-1.1,5.0,0.8,1.7,15.6
Portugal,2.6,0.4,2.8,5.0,0.0,3.3,14.1
Netherlands,2.7,3.2,0.8,5.0,-0.4,1.7,13.0
Slovakia,2.1,4.6,3.3,0.0,0.0,1.7,11.7
United Kingdom,-1.0,0.8,0.8,5.0,0.0,5.7,11.4
Austria,0.0,4.6,3.3,2.5,0.0,0.3,10.8
Bulgaria,2.0,4.9,0.4,0.0,0.0,3.3,10.6
Cyprus,-2.0,0.0,0.6,5.0,0.4,6.7,10.6
Malta,-1.0,1.8,3.8,5.0,0.0,0.3,9.9
Luxembourg,-0.4,1.0,0.3,5.0,0.0,1.7,7.6
Germany,-1.3,0.1,0.3,2.5,1.2,1.7,4.5
Slovenia,-1.2,3.2,-0.6,0.0,0.8,-1.0,1.2
