country,31,32,total
Estonia,5.6,2.2,7.8
Ireland,5.6,2.2,7.8
Greece,5.6,2.2,7.8
Latvia,5.6,2.2,7.8
Austria,5.6,1.9,7.5
France,5.6,1.8,7.4
Netherlands,5.6,1.6,7.2
Finland,5.6,1.6,7.2
United Kingdom,5.6,1.1,6.8
Sweden,5.6,0.6,6.3
Belgium,3.8,2.2,5.9
Czech Republic,5.6,0.3,5.9
Denmark,3.8,1.9,5.6
Malta,3.8,1.9,5.6
Portugal,3.8,1.9,5.6
Cyprus,3.8,1.1,4.9
EU28 AVERAGE,2.9,1.5,4.5
Luxembourg,3.8,0.6,4.4
Hungary,3.8,0.6,4.4
Croatia,3.8,0.3,4.1
Italy,0.0,2.2,2.2
Lithuania,0.0,1.9,1.9
Germany,0.0,1.5,1.5
Bulgaria,0.0,0.9,0.9
Spain,0.0,0.6,0.6
Romania,-1.9,2.2,0.3
Poland,-1.9,1.8,-0.1
Slovenia,-1.9,1.3,-0.6
Slovakia,-3.8,1.9,-1.9
