,country,subsection,energy_union_dimension,text_path
0,Austria,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Austria_Overview and Process for Establishing the Plan_nan.txt
1,Austria,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Austria_National Objectives and Targets_Decarbonisation.txt
2,Austria,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Austria_National Objectives and Targets_Energy efficiency.txt
3,Austria,National Objectives and Targets,Energy security,/necp_reports/txt_files/Austria_National Objectives and Targets_Energy security.txt
4,Austria,National Objectives and Targets,Internal market,/necp_reports/txt_files/Austria_National Objectives and Targets_Internal market.txt
5,Austria,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Austria_National Objectives and Targets_R&I and Competitiveness.txt
6,Austria,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Austria_Policies and Measures_Decarbonisation.txt
7,Austria,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Austria_Policies and Measures_Energy efficiency.txt
8,Austria,Policies and Measures,Energy security,/necp_reports/txt_files/Austria_Policies and Measures_Energy security.txt
9,Austria,Policies and Measures,Internal market,/necp_reports/txt_files/Austria_Policies and Measures_Internal market.txt
10,Austria,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Austria_Policies and Measures_R&I and Competitiveness.txt
11,Austria,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Austria_Current Situation and Reference Projections_Decarbonisation.txt
12,Austria,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Austria_Current Situation and Reference Projections_Energy efficiency.txt
13,Austria,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Austria_Current Situation and Reference Projections_Energy security.txt
14,Austria,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Austria_Current Situation and Reference Projections_Internal market.txt
15,Austria,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Austria_Current Situation and Reference Projections_R&I and Competitiveness.txt
16,Austria,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Austria_Impact Assessment of Planned Policies and Measures_nan.txt
17,Belgium,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Belgium_Overview and Process for Establishing the Plan_nan.txt
18,Belgium,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Belgium_National Objectives and Targets_Decarbonisation.txt
19,Belgium,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Belgium_National Objectives and Targets_Energy efficiency.txt
20,Belgium,National Objectives and Targets,Energy security,/necp_reports/txt_files/Belgium_National Objectives and Targets_Energy security.txt
21,Belgium,National Objectives and Targets,Internal market,/necp_reports/txt_files/Belgium_National Objectives and Targets_Internal market.txt
22,Belgium,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Belgium_National Objectives and Targets_R&I and Competitiveness.txt
23,Belgium,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Belgium_Policies and Measures_Decarbonisation.txt
24,Belgium,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Belgium_Policies and Measures_Energy efficiency.txt
25,Belgium,Policies and Measures,Energy security,/necp_reports/txt_files/Belgium_Policies and Measures_Energy security.txt
26,Belgium,Policies and Measures,Internal market,/necp_reports/txt_files/Belgium_Policies and Measures_Internal market.txt
27,Belgium,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Belgium_Policies and Measures_R&I and Competitiveness.txt
28,Belgium,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Belgium_Current Situation and Reference Projections_Decarbonisation.txt
29,Belgium,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Belgium_Current Situation and Reference Projections_Energy efficiency.txt
30,Belgium,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Belgium_Current Situation and Reference Projections_Energy security.txt
31,Belgium,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Belgium_Current Situation and Reference Projections_Internal market.txt
32,Belgium,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Belgium_Current Situation and Reference Projections_R&I and Competitiveness.txt
33,Belgium,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Belgium_Impact Assessment of Planned Policies and Measures_nan.txt
34,Bulgaria,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Bulgaria_Overview and Process for Establishing the Plan_nan.txt
35,Bulgaria,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Bulgaria_National Objectives and Targets_Decarbonisation.txt
36,Bulgaria,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Bulgaria_National Objectives and Targets_Energy efficiency.txt
37,Bulgaria,National Objectives and Targets,Energy security,/necp_reports/txt_files/Bulgaria_National Objectives and Targets_Energy security.txt
38,Bulgaria,National Objectives and Targets,Internal market,/necp_reports/txt_files/Bulgaria_National Objectives and Targets_Internal market.txt
39,Bulgaria,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Bulgaria_National Objectives and Targets_R&I and Competitiveness.txt
40,Bulgaria,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Bulgaria_Policies and Measures_Decarbonisation.txt
41,Bulgaria,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Bulgaria_Policies and Measures_Energy efficiency.txt
42,Bulgaria,Policies and Measures,Energy security,/necp_reports/txt_files/Bulgaria_Policies and Measures_Energy security.txt
43,Bulgaria,Policies and Measures,Internal market,/necp_reports/txt_files/Bulgaria_Policies and Measures_Internal market.txt
44,Bulgaria,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Bulgaria_Policies and Measures_R&I and Competitiveness.txt
45,Bulgaria,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Bulgaria_Current Situation and Reference Projections_Decarbonisation.txt
46,Bulgaria,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Bulgaria_Current Situation and Reference Projections_Energy efficiency.txt
47,Bulgaria,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Bulgaria_Current Situation and Reference Projections_Energy security.txt
48,Bulgaria,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Bulgaria_Current Situation and Reference Projections_Internal market.txt
49,Bulgaria,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Bulgaria_Current Situation and Reference Projections_R&I and Competitiveness.txt
50,Bulgaria,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Bulgaria_Impact Assessment of Planned Policies and Measures_nan.txt
51,Czechia,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Czechia_Overview and Process for Establishing the Plan_nan.txt
52,Czechia,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Czechia_National Objectives and Targets_Decarbonisation.txt
53,Czechia,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Czechia_National Objectives and Targets_Energy efficiency.txt
54,Czechia,National Objectives and Targets,Energy security,/necp_reports/txt_files/Czechia_National Objectives and Targets_Energy security.txt
55,Czechia,National Objectives and Targets,Internal market,/necp_reports/txt_files/Czechia_National Objectives and Targets_Internal market.txt
56,Czechia,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Czechia_National Objectives and Targets_R&I and Competitiveness.txt
57,Czechia,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Czechia_Policies and Measures_Decarbonisation.txt
58,Czechia,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Czechia_Policies and Measures_Energy efficiency.txt
59,Czechia,Policies and Measures,Energy security,/necp_reports/txt_files/Czechia_Policies and Measures_Energy security.txt
60,Czechia,Policies and Measures,Internal market,/necp_reports/txt_files/Czechia_Policies and Measures_Internal market.txt
61,Czechia,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Czechia_Policies and Measures_R&I and Competitiveness.txt
62,Czechia,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Czechia_Current Situation and Reference Projections_Decarbonisation.txt
63,Czechia,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Czechia_Current Situation and Reference Projections_Energy efficiency.txt
64,Czechia,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Czechia_Current Situation and Reference Projections_Energy security.txt
65,Czechia,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Czechia_Current Situation and Reference Projections_Internal market.txt
66,Czechia,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Czechia_Current Situation and Reference Projections_R&I and Competitiveness.txt
67,Czechia,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Czechia_Impact Assessment of Planned Policies and Measures_nan.txt
68,Cyprus,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Cyprus_Overview and Process for Establishing the Plan_nan.txt
69,Cyprus,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Cyprus_National Objectives and Targets_Decarbonisation.txt
70,Cyprus,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Cyprus_National Objectives and Targets_Energy efficiency.txt
71,Cyprus,National Objectives and Targets,Energy security,/necp_reports/txt_files/Cyprus_National Objectives and Targets_Energy security.txt
72,Cyprus,National Objectives and Targets,Internal market,/necp_reports/txt_files/Cyprus_National Objectives and Targets_Internal market.txt
73,Cyprus,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Cyprus_National Objectives and Targets_R&I and Competitiveness.txt
